file	arm	verdict	rc	wall_ms	attempts	decided_by	bound_by	bound_ms	total_ms	giveup	lever_refused
QF_UFBV/2018-Goel-hwbench/QF_UFBV_bv8_bv_AR_ab_cti_max.smt2	base	sat	0	409	5	ufbv-online-cdclt	ufbv-online-cdclt	294	328	none	no
QF_UFBV/2018-Goel-hwbench/QF_UFBV_bv8_bv_AR_ab_cti_max.smt2	a4096	sat	0	308	5	ufbv-online-cdclt	ufbv-online-cdclt	229	267	none	no
QF_UFBV/2018-Goel-hwbench/QF_UFBV_bv8_bv_AR_ab_cti_max.smt2	a4096n32768	sat	0	407	5	ufbv-online-cdclt	ufbv-online-cdclt	281	317	none	no
QF_UFBV/2018-Goel-hwbench/QF_UFBV_bv8_bv_AR_ab_cti_max.smt2	bothmid	sat	0	407	5	ufbv-online-cdclt	ufbv-online-cdclt	274	307	none	no
QF_UFBV/2018-Goel-hwbench/QF_UFBV_bv8_bv_AR_ab_cti_max.smt2	bothmax	sat	0	408	5	ufbv-online-cdclt	ufbv-online-cdclt	280	314	none	no
QF_UFBV/2018-Goel-hwbench/QF_UFBV_bv8_bv_adding.5.prop1_ab_reg_max.smt2	a4096n32768	sat	0	1508	9	ufbv-online-cdclt	ufbv-online-cdclt	1292	1412	none	no
QF_UFBV/2018-Goel-hwbench/QF_UFBV_bv8_bv_adding.5.prop1_ab_reg_max.smt2	bothmid	sat	0	1309	9	ufbv-online-cdclt	ufbv-online-cdclt	1129	1254	none	no
QF_UFBV/2018-Goel-hwbench/QF_UFBV_bv8_bv_adding.5.prop1_ab_reg_max.smt2	bothmax	sat	0	708	9	ufbv-online-cdclt	ufbv-online-cdclt	593	655	none	no
QF_UFBV/2018-Goel-hwbench/QF_UFBV_bv8_bv_adding.5.prop1_ab_reg_max.smt2	base	sat	0	708	9	ufbv-online-cdclt	ufbv-online-cdclt	611	672	none	no
QF_UFBV/2018-Goel-hwbench/QF_UFBV_bv8_bv_adding.5.prop1_ab_reg_max.smt2	a4096	sat	0	709	9	ufbv-online-cdclt	ufbv-online-cdclt	603	663	none	no
QF_UFBV/2018-Goel-hwbench/QF_UFBV_bv8_bv_at.1.prop1_ab_cti_max.smt2	bothmax	sat	0	11120	9	ufbv-online-cdclt	ufbv-online-cdclt	9192	11061	none	no
QF_UFBV/2018-Goel-hwbench/QF_UFBV_bv8_bv_at.1.prop1_ab_cti_max.smt2	base	unknown	0	2212	18	ufbv-online-cdclt	dl-online	1123	2166	give-up kind=ResourceLimit detail=online UFBV has 1499 semantic atoms, exceeding the cap of 1024	no
QF_UFBV/2018-Goel-hwbench/QF_UFBV_bv8_bv_at.1.prop1_ab_cti_max.smt2	a4096	sat	0	18534	9	ufbv-online-cdclt	ufbv-online-cdclt	16397	18467	none	no
QF_UFBV/2018-Goel-hwbench/QF_UFBV_bv8_bv_at.1.prop1_ab_cti_max.smt2	a4096n32768	sat	0	23936	9	ufbv-online-cdclt	ufbv-online-cdclt	18519	23877	none	no
QF_UFBV/2018-Goel-hwbench/QF_UFBV_bv8_bv_at.1.prop1_ab_cti_max.smt2	bothmid	unknown	0	25143	8	ufbv-online-cdclt	dl-online	3777	6498	give-up kind=Watchdog detail=watchdog fired before the worker thread returned	no
QF_UFBV/2018-Goel-hwbench/QF_UFBV_bv8_bv_bakery.3.prop1_ab_cti_max.smt2	a4096	sat	0	1315	5	ufbv-online-cdclt	dl-online	1157	1247	none	no
QF_UFBV/2018-Goel-hwbench/QF_UFBV_bv8_bv_bakery.3.prop1_ab_cti_max.smt2	a4096n32768	sat	0	1515	5	ufbv-online-cdclt	dl-online	1310	1425	none	no
QF_UFBV/2018-Goel-hwbench/QF_UFBV_bv8_bv_bakery.3.prop1_ab_cti_max.smt2	bothmid	sat	0	1717	5	ufbv-online-cdclt	dl-online	1484	1592	none	no
QF_UFBV/2018-Goel-hwbench/QF_UFBV_bv8_bv_bakery.3.prop1_ab_cti_max.smt2	bothmax	sat	0	1822	5	ufbv-online-cdclt	dl-online	1607	1712	none	no
QF_UFBV/2018-Goel-hwbench/QF_UFBV_bv8_bv_bakery.3.prop1_ab_cti_max.smt2	base	sat	0	1618	5	ufbv-online-cdclt	dl-online	1416	1512	none	no
QF_UFBV/2018-Goel-hwbench/QF_UFBV_bv8_bv_bridge.1.prop1_ab_reg_max.smt2	bothmid	unsat	0	4823	5	ufbv-online-cdclt	dl-online	3706	4688	none	no
QF_UFBV/2018-Goel-hwbench/QF_UFBV_bv8_bv_bridge.1.prop1_ab_reg_max.smt2	bothmax	unsat	0	4420	5	ufbv-online-cdclt	dl-online	3712	4321	none	no
