=== LIB SWEEP (--skip reconstruct::) ===
    Finished `test` profile [unoptimized + debuginfo] target(s) in 0.95s
     Running unittests src/lib.rs (/data0/axeyum/dt-field-expansion-target-check/debug/deps/axeyum_solver-acf47eaa496561d6)

running 1580 tests
test abv::row_warmth::tests::a_loop_that_never_ran_is_not_warm ... ok
test abv::row_warmth::tests::encode_once_separates_warm_from_a_rebuild ... ok
test abv::instruments::tests::engaged_separates_no_arrays_from_no_collection ... ok
test abv::instruments::tests::in_flight_route_is_derived_from_entry_and_return ... ok
test abv::instruments::tests::counters_are_off_without_a_guard ... ok
test abv::instruments::tests::guard_collects_and_resets ... ok
test abv::sound2_narrowing_site_tests::model_from_projected_assignment_carries_the_other_components ... ok
test abv::row_warmth::tests::guard_collects_and_resets ... ok
test abv::row_warmth::tests::counters_are_off_without_a_guard ... ok
test abv::instruments::tests::trace_line_names_every_field ... ok
test abv::tests::const_array_default_mismatch_certificate_rechecks_constarr3 ... ok
test abv::tests::lazy_ext_branch_schedule_rejects_scalar_closure_loop ... ok
test abv::tests::lazy_ext_branch_schedule_repairs_select_backed_scalar_literals ... ok
test abv::tests::generic_array_projection_declines_a_wrong_sorted_element ... ok
test abv::tests::generic_array_projection_uses_majority_default ... ok
test abv::tests::array_projection_uses_majority_bv_default ... ok
test abv::tests::array_projection_majority_tie_uses_smallest_value ... ok
test abv::tests::cross_store_array_refuter_closes_qf_ax_unsats_only ... ok
test abv::tests::lazy_ext_projection_prefers_asserted_select_equalities ... ok
test abv::tests::lazy_ext_last_candidate_replay_accepts_only_real_models ... ok
test abv::tests::lazy_ext_projection_propagates_select_supported_scalar_equalities ... ok
test abv::tests::lazy_ext_projection_repairs_scalar_equality_by_replay_improvement ... ok
test abv::tests::lazy_ext_branch_select_cycle_repair_forces_alternate_or_branch ... ok
test abv::tests::lazy_ext_projection_repairs_single_false_branch_symbol_equality ... ok
test abv::tests::lazy_abv_sat_model_replays ... ok
test abv::tests::lazy_ext_branch_beam_stabilizes_direct_select_readbacks ... ok
test abv::tests::lazy_ext_branch_pair_choice_scores_adjacent_or_repairs ... ok
test abv::tests::lazy_abv_refutes_select_congruence ... ok
test abv::tests::grouped_congruence_scan_matches_the_pairwise_definition ... ok
test abv::tests::grouped_congruence_scan_honours_already_added ... ok
test abv::tests::lazy_ext_replay_failure_reports_best_false_or_branch ... ok
test abv::tests::lazy_ext_branch_equality_repairs_target_through_store_definition ... ok
test abv::tests::lazy_ext_replay_failure_reports_branch_candidate_diagnostics ... ok
test abv::tests::lazy_ext_branch_select_cycle_repairs_same_branch_store_residual ... ok
test abv::tests::lazy_ext_projection_repairs_multi_literal_branch_schedule ... ok
test abv::tests::lazy_ext_projection_repairs_supported_branch_array_equality ... ok
test abv::tests::lazy_ext_branch_select_cycle_repairs_residual_followup_or_chain ... ok
test abv::tests::lazy_ext_projection_repairs_selected_array_equality_component ... ok
test abv::tests::lazy_ext_branch_repair_rejects_followup_two_or_cycle ... ok
test abv::tests::lazy_ext_or_repair_beam_composes_followup_select_repair ... ok
test abv::tests::lazy_ext_branch_beam_allows_temporary_uphill_schedule ... ok
test abv::tests::lazy_ext_replay_failure_reports_scalar_candidate_diagnostics ... ok
test abv::tests::lazy_ext_replay_failure_reports_select_candidate_diagnostics ... ok
test abv::tests::lazy_ext_scalar_branch_choice_prefers_replay_safe_direction ... ok
test abv::tests::lazy_ext_replay_failure_reports_branch_select_candidate_diagnostics ... ok
test abv::tests::lazy_ext_replay_failure_reports_branch_pair_candidate_diagnostics ... ok
test abv::tests::lazy_ext_replay_failure_reports_scalar_choice_side_effects ... ok
test abv::tests::lazy_ext_scalar_candidate_reports_followup_or_diagnostic ... ok
test abv::tests::lazy_ext_targeted_replay_repairs_direct_select_equality ... ok
