file	online_route_in_trail	cap_text_anywhere	trail_routes
QF_BV/20190311-bv-term-small-rw-Noetzli/bv-term-small-rw_1335.smt2	no	no	dl-online,fd:parse,probe,qf-bv
QF_BV/20190311-bv-term-small-rw-Noetzli/bv-term-small-rw_746.smt2	no	no	dl-online,fd:parse,probe,qf-bv
QF_BV/20210312-Bouvier/vlsat3_a85.smt2	no	no	dl-online,fd:bounded-completeness-unsat,fd:length-lia,fd:lex-order,fd:membership,fd:online-string,fd:parse,fd:source-string-sat-probe,fd:source-string-semantic-unsat,fd:string-gate,fd:word-route,probe,qf-bv
QF_BV/20221012-MCMPC/dualexecution_affine/dualexecution_affine.t1.i8.1d3e97a0.smt2	no	no	dl-online,fd:parse,probe,qf-bv
QF_BV/20221012-MCMPC/millionaires/millionaires.t1.i25.63566545.smt2	no	no	dl-online,fd:parse,probe,qf-bv
QF_BV/20221012-MCMPC/millionaires/millionaires.t1.i64.0b2dd246.smt2	no	no	dl-online,fd:parse,probe,qf-bv
QF_BV/20221214-p4dfa-XiaoqiChen/StringMatching/string4x16.7._bit8_na6_nr4_pairedtwobranch.smt2	no	no	dl-online,fd:parse,probe
QF_BV/Sage2/bench_114.smt2	no	no	dl-online,fd:parse,probe,qf-bv
QF_BV/Sage2/bench_1332.smt2	no	no	dl-online,fd:parse,probe,qf-bv
QF_BV/Sage2/bench_15191.smt2	no	no	dl-online,fd:parse,probe,qf-bv
QF_BV/Sage2/bench_17078.smt2	no	no	dl-online,fd:parse,probe,qf-bv
QF_BV/Sage2/bench_2839.smt2	no	no	dl-online,fd:parse,probe,qf-bv
QF_BV/Sage2/bench_4888.smt2	no	no	dl-online,fd:parse,probe,qf-bv
QF_BV/Sage2/bench_6930.smt2	no	no	dl-online,fd:parse,probe,qf-bv
QF_BV/Sage2/bench_8967.smt2	no	no	dl-online,fd:parse,probe,qf-bv
