file	A	B	A_ms	B_ms	first
QF_NRA/20161105-Sturm-MBO/mbo_E11E17.smt2	unknown	unknown	24027	24028	A
QF_NRA/20161105-Sturm-MBO/mbo_E16E20.smt2	unknown	unknown	24329	24330	B
QF_NRA/20161105-Sturm-MBO/mbo_E6E12.smt2	unknown	unknown	24532	24636	A
QF_NRA/20180501-Economics-Mulligan/MulliganEconomicsModel0055a.smt2	unknown	unknown	24331	24330	B
QF_NRA/20200911-Pine/1599122158690319000.smt2	unknown	unknown	12720	12720	A
QF_NRA/20211101-Geogebra/IsoRightTriangle-Bottema8_1b.smt2	unknown	unknown	24130	24131	B
QF_NRA/20220314-Uncu/Polynomial_Proof_Calls/ProveIneq_ISSAC05_Bessack_5_5.smt2	unknown	unknown	12621	12521	A
QF_NRA/LassoRanker/CooperatingT2/eric2.t2.c_Iteration7_Loop_4-pieceTemplate.smt2	unknown	unknown	24329	24229	B
QF_NRA/LassoRanker/CooperatingT2/pentagon.t2.c_Iteration14_Loop_3-pieceTemplate.smt2	unknown	unknown	24129	24128	A
QF_NRA/LassoRanker/CooperatingT2/sas2.t2.c_Iteration6_Loop_7-phaseTemplate.smt2	unknown	unknown	24629	24628	B
QF_NRA/LassoRanker/SV-COMP/CookSeeZuleger-2013TACAS-Fig3_true-termination.c_Iteration1_Loop_5-phaseTemplate.smt2	unknown	unknown	25029	25025	A
QF_NRA/LassoRanker/SV-COMP/aviad_true-termination.c_Iteration1_Loop_7-nestedTemplate.smt2	unknown	unknown	25129	25127	B
QF_NRA/hong/hong_15.smt2	unknown	unknown	24231	24231	A
QF_NRA/hycomp/ball_count_1d_plain.04.seq_lazy_linear_enc_global_6.smt2	unsat	unsat	609	611	B
QF_NRA/hycomp/ball_count_2d_hill.03.redlog_global_10.smt2	unknown	unknown	18324	19126	A
QF_NRA/hycomp/ball_count_2d_hill.04.seq_lazy_linear_enc_global_15.smt2	unsat	unsat	209	209	B
QF_NRA/hycomp/ball_count_2d_hill_simple.02.seq_lazy_lemmas_global_8.smt2	unknown	unknown	4714	4613	A
QF_NRA/hycomp/ball_count_2d_hill_simple.04.qfree_global_8.smt2	unknown	unknown	24231	24334	B
QF_NRA/hycomp/ball_count_2d_hill_simple.10.redlog_global_15.smt2	unsat	unsat	210	111	A
QF_NRA/hycomp/ball_count_2d_plain.01.seq_lazy_lemmas_global_14.smt2	unknown	unknown	24127	24128	B
QF_NRA/hycomp/ball_count_2d_plain.05.redlog_global_13.smt2	unsat	unsat	210	110	A
QF_NRA/hycomp/ball_count_2d_slope.04.seq_lazy_linear_enc_global_2.smt2	unsat	unsat	511	511	B
QF_NRA/meti-tarski/CMOS/CMOS-opamp-chunk-0151.smt2	unknown	unknown	2111	2111	A
QF_NRA/meti-tarski/Chua/1/IL/L/Chua-1-IL-L-chunk-0143.smt2	unsat	unsat	109	109	B
QF_NRA/meti-tarski/Chua/1/VC2/L/Chua-1-VC2-L-chunk-0034.smt2	unsat	unsat	109	109	A
QF_NRA/meti-tarski/Chua/2/IL/L/Chua-2-IL-L-chunk-0054.smt2	sat	sat	109	109	B
QF_NRA/meti-tarski/Chua/2/VC1/L/Chua-2-VC1-L-chunk-0074.smt2	unknown	unknown	13021	13020	A
QF_NRA/meti-tarski/asin/8/asin-8-chunk-0028.smt2	unknown	unknown	111	110	B
QF_NRA/meti-tarski/atan/problem/1/weak/atan-problem-1-weak-chunk-0028.smt2	sat	sat	111	110	A
