file	order	off_verdict	off_ms	on_verdict	on_ms
UFLIA/20230314-Jaroslav-Bendik-Certora/52759_b3ecd2335fd16ec2eee2_9_UFLIA.smt2	off-on	unknown	4311	unknown	4412
UFLIA/boogie/BasicMethodology_SubClass..ctor.smt2	on-off	unknown	24130	unknown	24129
UFLIA/boogie/ExposeVersion_D..ctor-level_2.smt2	off-on	unknown	24131	unknown	24131
UFLIA/grasshopper/instantiated/delete_check_heap_access_53_12.smt2	on-off	unknown	23931	unknown	23829
UFLIA/simplify/javafe.ast.LexicalPragmaVec.219.smt2	off-on	unknown	23931	unknown	23831
UFLIA/simplify/javafe.ast.UnaryExpr.424.smt2	on-off	unknown	23027	unknown	23528
UFLIA/simplify/tohtml.Java2Html.832.smt2	off-on	unknown	25030	unknown	25030
UFLIA/simplify2/front_end_suite/javafe.ast.ConstructorDecl.007.smt2	on-off	unsat	808	unsat	809
UFLIA/simplify2/front_end_suite/javafe.ast.LabelStmt.011.smt2	off-on	unknown	24131	unknown	24133
UFLIA/simplify2/front_end_suite/javafe.ast.SuperObjectDesignator.008.smt2	on-off	unsat	811	unsat	810
UFLIA/simplify2/front_end_suite/javafe.filespace.HashTree.001.smt2	off-on	unknown	24131	unknown	25032
UFLIA/simplify2/front_end_suite/javafe.parser.test.TestLex.030.smt2	on-off	unsat	810	unsat	810
UFLIA/simplify2/front_end_suite/javafe.tc.FlowInsensitiveChecks.017.smt2	off-on	unknown	25131	unknown	25031
UFLIA/simplify2/front_end_suite/javafe.test.SuperlinksTest.004.smt2	on-off	unknown	24129	unknown	24129
UFLIA/sledgehammer/Fundamental_Theorem_Algebra/smtlib.1057395.smt2	off-on	unknown	19126	unknown	19026
UFLIA/sledgehammer/Hoare/smtlib.1175889.smt2	on-off	unknown	25133	unknown	25133
UFLIA/sledgehammer/QEpres/smtlib.1120322.smt2	off-on	unknown	17324	unknown	17724
UFNIA/2019-Preiner/combined/f2_rw160.smt2	on-off	unknown	24230	unknown	24231
UFNIA/2019-Preiner/combined/t3_rw96.smt2	off-on	unknown	24334	unknown	24331
UFNIA/2019-Preiner/full/t3_rw25.smt2	on-off	unknown	15424	unknown	15423
UFNIA/2019-Preiner/partial/t3_rw21.smt2	off-on	unknown	24132	unknown	24132
UFNIA/2019-Preiner/partial/t3_rw940.smt2	on-off	unknown	24433	unknown	24232
UFNIA/2019-Zohar-ic/combined/int_check_bvugt_bvashr0_ltr_inv_g.smt2	off-on	unknown	24329	unknown	24327
UFNIA/2019-Zohar-ic/partial/int_check_bvsgt_bvlshr0_ltr_no_inv.smt2	on-off	unknown	24130	unknown	24129
UFNIA/2019-Zohar-ic/qf/int_check_bvuge_bvor_ltr_no_inv.smt2	off-on	unknown	2610	unknown	2610
UFNIA/lahiri-cav09-storm-queries/mqueue_example_cegar_2_3_10.smt2	on-off	unknown	25132	unknown	25132
UFNIA/sledgehammer/Fundamental_Theorem_Algebra/z3.1031223.smt2	off-on	unknown	19326	unknown	19426
UFNIA/sledgehammer/TwoSquares/z3.647259.smt2	on-off	unknown	22430	unknown	22229
UFNIA/spec_sharp/test14-CommandLineOptions.ssc.23.Microsoft.Boogie.CommandLineOptions.Boogie.ContractConsistencyCheck.get_ProverNeedsTypes.smt2	off-on	unknown	109	unknown	109
UFNIA/spec_sharp/textbook-Factorial.dll.1.Factorial.F_System.Int32.smt2	on-off	unknown	16524	unknown	16425
UFNIA/vcc-havoc/baby.59.handle_reset.smt2	off-on	unknown	13822	unknown	13822
UFNIA/vcc-havoc/vccp-union1.c.6.reint2.smt2	on-off	unknown	25034	unknown	25033
UFNIA/vcc-havoc/verisoft-sim.c.2.25.untranslated_write_sim.smt2	off-on	unknown	17024	unknown	17023
