rep	arm	file	wall_ms	verdict
1	base	/nas3/data/axeyum/corpus/smtlib-2024/non-incremental/non-incremental/QF_BV/2017-BuchwaldFried/counterexample.dump.ia32_Mul_base_disp--Add32.load32.Mul32.Mulh_u32.0005.smt2	10219	unknown
1	base	/nas3/data/axeyum/corpus/smtlib-2024/non-incremental/non-incremental/QF_BV/20190311-bv-term-small-rw-Noetzli/bv-term-small-rw_1128.smt2	210	unsat
1	base	/nas3/data/axeyum/corpus/smtlib-2024/non-incremental/non-incremental/QF_BV/20190311-bv-term-small-rw-Noetzli/bv-term-small-rw_1335.smt2	110	unsat
1	base	/nas3/data/axeyum/corpus/smtlib-2024/non-incremental/non-incremental/QF_BV/20190311-bv-term-small-rw-Noetzli/bv-term-small-rw_1542.smt2	113	unsat
1	base	/nas3/data/axeyum/corpus/smtlib-2024/non-incremental/non-incremental/QF_BV/20190311-bv-term-small-rw-Noetzli/bv-term-small-rw_331.smt2	112	unsat
1	base	/nas3/data/axeyum/corpus/smtlib-2024/non-incremental/non-incremental/QF_BV/20190311-bv-term-small-rw-Noetzli/bv-term-small-rw_539.smt2	111	unsat
1	base	/nas3/data/axeyum/corpus/smtlib-2024/non-incremental/non-incremental/QF_BV/20190311-bv-term-small-rw-Noetzli/bv-term-small-rw_746.smt2	112	unsat
1	base	/nas3/data/axeyum/corpus/smtlib-2024/non-incremental/non-incremental/QF_BV/20190311-bv-term-small-rw-Noetzli/bv-term-small-rw_953.smt2	111	unsat
1	base	/nas3/data/axeyum/corpus/smtlib-2024/non-incremental/non-incremental/QF_BV/20210219-Sydr/master/cjpeg/predicate_425.smt2	411	unsat
1	base	/nas3/data/axeyum/corpus/smtlib-2024/non-incremental/non-incremental/QF_BV/20210219-Sydr/symbolic_memory/bst/yices/predicate_851.smt2	10118	unknown
1	base	/nas3/data/axeyum/corpus/smtlib-2024/non-incremental/non-incremental/QF_BV/20210312-Bouvier/vlsat3_a85.smt2	10120	unknown
1	base	/nas3/data/axeyum/corpus/smtlib-2024/non-incremental/non-incremental/QF_BV/20221012-MCMPC/dualexecution/dualexecution.t1.i15.8e78387b.smt2	2212	sat
1	base	/nas3/data/axeyum/corpus/smtlib-2024/non-incremental/non-incremental/QF_BV/20221012-MCMPC/dualexecution_affine/dualexecution.t1.i16.e7c172b6.smt2	210	sat
1	base	/nas3/data/axeyum/corpus/smtlib-2024/non-incremental/non-incremental/QF_BV/20221012-MCMPC/dualexecution_affine/dualexecution_affine.t1.i12.955644ef.smt2	110	sat
1	base	/nas3/data/axeyum/corpus/smtlib-2024/non-incremental/non-incremental/QF_BV/20221012-MCMPC/dualexecution_affine/dualexecution_affine.t1.i8.1d3e97a0.smt2	1612	sat
1	base	/nas3/data/axeyum/corpus/smtlib-2024/non-incremental/non-incremental/QF_BV/20221012-MCMPC/mean_buckets/mean_buckets.t1.i16.a1b9cc34.smt2	112	sat
1	base	/nas3/data/axeyum/corpus/smtlib-2024/non-incremental/non-incremental/QF_BV/20221012-MCMPC/mean_buckets/simplemean_buckets.t1.i14.acc34979.smt2	111	sat
1	base	/nas3/data/axeyum/corpus/smtlib-2024/non-incremental/non-incremental/QF_BV/20221012-MCMPC/millionaires/millionaires.t1.i17.9386ab8d.smt2	111	sat
1	base	/nas3/data/axeyum/corpus/smtlib-2024/non-incremental/non-incremental/QF_BV/20221012-MCMPC/millionaires/millionaires.t1.i25.63566545.smt2	111	sat
1	base	/nas3/data/axeyum/corpus/smtlib-2024/non-incremental/non-incremental/QF_BV/20221012-MCMPC/millionaires/millionaires.t1.i31.d39290a3.smt2	111	sat
1	base	/nas3/data/axeyum/corpus/smtlib-2024/non-incremental/non-incremental/QF_BV/20221012-MCMPC/millionaires/millionaires.t1.i42.06377145.smt2	113	sat
1	base	/nas3/data/axeyum/corpus/smtlib-2024/non-incremental/non-incremental/QF_BV/20221012-MCMPC/millionaires/millionaires.t1.i53.a8ef2dcb.smt2	113	sat
1	base	/nas3/data/axeyum/corpus/smtlib-2024/non-incremental/non-incremental/QF_BV/20221012-MCMPC/millionaires/millionaires.t1.i64.0b2dd246.smt2	111	sat
1	base	/nas3/data/axeyum/corpus/smtlib-2024/non-incremental/non-incremental/QF_BV/20221012-MCMPC/millionaires/millionaires.t3.i6.5167c4b3.smt2	112	sat
1	base	/nas3/data/axeyum/corpus/smtlib-2024/non-incremental/non-incremental/QF_BV/20221012-MCMPC/wage/wage.t1.i19.a912c9b3.smt2	111	sat
1	base	/nas3/data/axeyum/corpus/smtlib-2024/non-incremental/non-incremental/QF_BV/20221012-MCMPC/wage_circuit_div/wage_circuit_div.t1.i23.92e43e77.smt2	111	sat
1	base	/nas3/data/axeyum/corpus/smtlib-2024/non-incremental/non-incremental/QF_BV/20221214-p4dfa-XiaoqiChen/StringMatching/string4x16.7._bit8_na6_nr4_pairedtwobranch.smt2	11119	unknown
1	base	/nas3/data/axeyum/corpus/smtlib-2024/non-incremental/non-incremental/QF_BV/Sage2/bench_10044.smt2	112	unsat
1	base	/nas3/data/axeyum/corpus/smtlib-2024/non-incremental/non-incremental/QF_BV/Sage2/bench_10451.smt2	11221	unknown
1	base	/nas3/data/axeyum/corpus/smtlib-2024/non-incremental/non-incremental/QF_BV/Sage2/bench_10924.smt2	1212	sat
