file	status	n_vars	max_degree	n_assert	has_div	has_div_const	max_abs_int_log2	has_to_int	has_ite	has_top_or
QF_NRA/20161105-Sturm-MBO/mbo_E13E18.smt2	unsat	7	20	1	0	0	18	0	0	0
QF_NRA/20161105-Sturm-MBO/mbo_E17E24.smt2	sat	7	20	1	0	0	15	0	0	0
QF_NRA/20161105-Sturm-MBO/mbo_E1.smt2	unsat	6	10	1	0	0	9	0	0	0
QF_NRA/20161105-Sturm-MBO/mbo_E20E26.smt2	unsat	6	11	1	0	0	7	0	0	0
QF_NRA/20161105-Sturm-MBO/mbo_E2E5.smt2	unsat	7	19	1	0	0	21	0	0	0
QF_NRA/20161105-Sturm-MBO/mbo_E5E13.smt2	unsat	7	20	1	0	0	17	0	0	0
QF_NRA/20161105-Sturm-MBO/mbo_E7E27.smt2	unsat	4	2	1	0	0	3	0	0	0
QF_NRA/20170501-Heizmann-UltimateInvariantSynthesis/avg60.i_5_5_4.bpl_3.smt2	unknown	621	2	11	0	0	0	0	0	0
QF_NRA/20170501-Heizmann-UltimateInvariantSynthesis/standard_two_index_06.i_3_2_2.bpl_5.smt2	unknown	77	2	3	0	0	0	0	0	0
QF_NRA/20180501-Economics-Mulligan/MulliganEconomicsModel0051a.smt2	sat	20	1	1	0	0	0	0	0	0
QF_NRA/20180501-Economics-Mulligan/MulliganEconomicsModel0082a.smt2	sat	10	1	1	0	0	0	0	0	0
QF_NRA/2019-ezsmt/reverseFolding/30-reverse_folding-0-0.smt2	unknown	30718	1	113156	0	0	6	0	0	1
QF_NRA/20200911-Pine/1599121863243316000.smt2	unknown	4	2	1	0	1	0	0	0	0
QF_NRA/20200911-Pine/1599121905450496000.smt2	unknown	4	5	1	0	1	0	0	0	0
QF_NRA/20200911-Pine/1599122159626470000.smt2	unknown	4	2	1	0	1	0	0	0	0
QF_NRA/20200911-Pine/1599122164633784000.smt2	unknown	4	2	1	0	1	0	0	0	0
QF_NRA/20211101-Geogebra/IsoRightTriangle-Bottema6_1b.smt2	sat	6	2	1	0	0	3	0	0	0
QF_NRA/20211101-Geogebra/Triangle-Bottema1_17.smt2	sat	7	4	1	0	0	4	0	0	0
QF_NRA/20220314-Uncu/Polynomial_Proof_Calls/ProveIneq_ISSAC05_SignPattern_Lemma2.smt2	unsat	4	17	1	0	1	21	0	0	0
QF_NRA/20220314-Uncu/Rational_Function_Proof_Calls_With_Basic_Denominator_Simplifications/BDC_ProveIneq_ISSAC10_ex1d.smt2	sat	4	5	1	0	0	9	0	0	0
QF_NRA/20220314-Uncu/Rational_Function_Proof_Calls_With_Disjunctive_Denominator_Simplifications/DDC_ProveIneq_ISSAC05_Bessack_5_m4.smt2	unsat	4	5	1	0	0	3	0	0	0
QF_NRA/20220314-Uncu/Rational_Function_Proof_Calls_With_Disjunctive_Denominator_Simplifications/DDC_ProveIneq_Mitrinovic_8_3.smt2	unsat	5	3	1	0	0	1	0	0	0
QF_NRA/hycomp/ball_count_1d_plain.01.seq_lazy_global_11.smt2	unsat	133	2	1	0	1	4	0	0	0
QF_NRA/hycomp/ball_count_1d_plain.01.seq_lazy_linear_enc_lemmas_global_9.smt2	unsat	111	2	1	0	1	4	0	0	0
QF_NRA/hycomp/ball_count_1d_plain.02.seq_lazy_lemmas_global_5.smt2	unsat	67	2	1	0	1	4	0	0	0
QF_NRA/hycomp/ball_count_1d_plain.03.redlog_global_15.smt2	unsat	177	2	1	0	1	4	0	0	0
QF_NRA/hycomp/ball_count_1d_plain.03.seq_lazy_linear_enc_lemmas_global_11.smt2	unsat	133	2	1	0	1	4	0	0	0
QF_NRA/hycomp/ball_count_1d_plain.04.seq_lazy_global_9.smt2	unsat	111	2	1	0	1	4	0	0	0
QF_NRA/hycomp/ball_count_1d_plain.05.qfree_global_5.smt2	unsat	67	2	1	0	1	4	0	0	0
QF_NRA/hycomp/ball_count_1d_plain.05.seq_lazy_linear_enc_global_15.smt2	unsat	177	2	1	0	1	4	0	0	0
QF_NRA/hycomp/ball_count_1d_plain.10.seq_lazy_global_11.smt2	unsat	133	2	1	0	1	4	0	0	0
QF_NRA/hycomp/ball_count_1d_plain.10.seq_lazy_linear_enc_lemmas_global_9.smt2	unsat	111	2	1	0	1	4	0	0	0
QF_NRA/hycomp/ball_count_2d_hill.01.seq_lazy_linear_enc_global_5.smt2	unsat	85	4	1	0	1	4	0	0	0
QF_NRA/hycomp/ball_count_2d_hill.02.seq_lazy_lemmas_global_15.smt2	unsat	225	4	1	0	1	6	0	0	0
QF_NRA/hycomp/ball_count_2d_hill.03.seq_lazy_global_11.smt2	unsat	169	4	1	0	1	4	0	0	0
QF_NRA/hycomp/ball_count_2d_hill.03.seq_lazy_linear_enc_lemmas_global_9.smt2	unsat	141	4	1	0	1	6	0	0	0
QF_NRA/hycomp/ball_count_2d_hill.04.seq_lazy_linear_enc_global_5.smt2	unsat	85	4	1	0	1	4	0	0	0
QF_NRA/hycomp/ball_count_2d_hill.05.seq_lazy_lemmas_global_15.smt2	unsat	225	4	1	0	1	6	0	0	0
QF_NRA/hycomp/ball_count_2d_hill.10.seq_lazy_global_11.smt2	unsat	169	4	1	0	1	4	0	0	0
QF_NRA/hycomp/ball_count_2d_hill.10.seq_lazy_linear_enc_lemmas_global_9.smt2	unsat	141	4	1	0	1	6	0	0	0
QF_NRA/hycomp/ball_count_2d_hill_simple.01.seq_lazy_lemmas_global_5.smt2	unsat	79	3	1	0	1	2	0	0	0
QF_NRA/hycomp/ball_count_2d_hill_simple.02.redlog_global_15.smt2	unsat	209	3	1	0	1	2	0	0	0
QF_NRA/hycomp/ball_count_2d_hill_simple.02.seq_lazy_linear_enc_lemmas_global_11.smt2	unsat	157	3	1	0	1	2	0	0	0
QF_NRA/hycomp/ball_count_2d_hill_simple.03.seq_lazy_global_9.smt2	unsat	131	3	1	0	1	2	0	0	0
QF_NRA/hycomp/ball_count_2d_hill_simple.04.qfree_global_5.smt2	unsat	79	3	1	0	1	2	0	0	0
QF_NRA/hycomp/ball_count_2d_hill_simple.04.seq_lazy_linear_enc_global_15.smt2	unsat	209	3	1	0	1	2	0	0	0
QF_NRA/hycomp/ball_count_2d_hill_simple.05.seq_lazy_global_11.smt2	unsat	157	3	1	0	1	2	0	0	0
