file	base_verdict	base_s	esc_verdict	esc_s	base_giveup	esc_giveup
/nas3/data/axeyum/corpus/smtlib-2024/non-incremental/non-incremental/QF_ABV/bench_ab/b165test0007.smt2	sat	0.1	sat	0.1	(none)	(none)
/nas3/data/axeyum/corpus/smtlib-2024/non-incremental/non-incremental/QF_ABV/dwp_formulas/try3_noof_functions_dwp_df.get_quoting_style.il.dwp.smt2	sat	0.2	sat	0.1	(none)	(none)
/nas3/data/axeyum/corpus/smtlib-2024/non-incremental/non-incremental/QF_ABV/dwp_formulas/try3_noof_functions_dwp_vdir.hash_string.il.dwp.smt2	sat	0.1	sat	0.1	(none)	(none)
/nas3/data/axeyum/corpus/smtlib-2024/non-incremental/non-incremental/QF_ABV/dwp_formulas/try3_sameret_functions_dwp_mv.get_quoting_style.il.dwp.smt2	sat	0.7	sat	0.7	(none)	(none)
/nas3/data/axeyum/corpus/smtlib-2024/non-incremental/non-incremental/QF_ABV/dwp_formulas/try3_sameret_functions_dwp_unexpand.get_quoting_style.il.dwp.smt2	sat	0.7	sat	0.8	(none)	(none)
/nas3/data/axeyum/corpus/smtlib-2024/non-incremental/non-incremental/QF_ABV/dwp_formulas/try3_sameret_functions_fse-bfs_vdir.hash_get_n_entries.il.fse-bfs.smt2	sat	0.1	sat	0.1	(none)	(none)
/nas3/data/axeyum/corpus/smtlib-2024/non-incremental/non-incremental/QF_ABV/dwp_formulas/try3_true_functions_dwp_split.set_quoting_style.il.dwp.smt2	sat	0.1	sat	0.1	(none)	(none)
/nas3/data/axeyum/corpus/smtlib-2024/non-incremental/non-incremental/QF_ABV/dwp_formulas/try4_difret_functions_disjunctions_sha1sum.close_stdout_set_file_name.il.disjunctions_0.smt2	sat	3.1	sat	3.1	(none)	(none)
/nas3/data/axeyum/corpus/smtlib-2024/non-incremental/non-incremental/QF_ABV/dwp_formulas/try4_difret_functions_disjunctions_vdir.strmode.il.disjunctions_6.smt2	sat	18.1	sat	18.1	(none)	(none)
/nas3/data/axeyum/corpus/smtlib-2024/non-incremental/non-incremental/QF_ABV/dwp_formulas/try4_true_functions_dwp_tail.set_quoting_style.il.dwp.smt2	sat	0.1	sat	0.1	(none)	(none)
/nas3/data/axeyum/corpus/smtlib-2024/non-incremental/non-incremental/QF_ABV/dwp_formulas/try5_small_difret_functions_dwp_setuidgid.quoting_options_from_style.il.dwp.smt2	unsat	0.1	unsat	0.1	(none)	(none)
/nas3/data/axeyum/corpus/smtlib-2024/non-incremental/non-incremental/QF_ABV/dwp_formulas/try5_small_difret_functions_flanagansaxe_dirname.quoting_options_from_style.il.flanagansaxe.smt2	sat	0.2	sat	0.2	(none)	(none)
/nas3/data/axeyum/corpus/smtlib-2024/non-incremental/non-incremental/QF_ABV/dwp_formulas/try5_small_difret_functions_flanagansaxe_sha512sum.set_quoting_style.il.flanagansaxe.smt2	sat	0.1	sat	0.1	(none)	(none)
/nas3/data/axeyum/corpus/smtlib-2024/non-incremental/non-incremental/QF_ABV/dwp_formulas/try5_small_difret_functions_fse-bfs_mkdir.close_stdout_set_file_name.il.fse-bfs.smt2	sat	3.1	sat	2.9	(none)	(none)
/nas3/data/axeyum/corpus/smtlib-2024/non-incremental/non-incremental/QF_ABV/dwp_formulas/try5_small_difret_functions_wp_mkdir.set_char_quoting.il.wp.smt2	sat	18.2	sat	18.4	(none)	(none)
/nas3/data/axeyum/corpus/smtlib-2024/non-incremental/non-incremental/QF_ABV/dwp_formulas/try5_small_noof_functions_dwp_env.set_char_quoting.il.dwp.smt2	sat	18.3	sat	18.2	(none)	(none)
/nas3/data/axeyum/corpus/smtlib-2024/non-incremental/non-incremental/QF_ABV/dwp_formulas/try5_small_noof_functions_dwp_vdir.rev_xstrcoll_mtime.il.dwp.smt2	sat	1.0	sat	1.0	(none)	(none)
/nas3/data/axeyum/corpus/smtlib-2024/non-incremental/non-incremental/QF_ABV/dwp_formulas/try5_small_noof_functions_flanagansaxe_shuf.isaac_mix.il.flanagansaxe.smt2	sat	3.3	sat	2.1	(none)	(none)
/nas3/data/axeyum/corpus/smtlib-2024/non-incremental/non-incremental/QF_ABV/dwp_formulas/try5_small_noof_functions_wp_ptx.search_cur_bkref_entry.il.wp.smt2	sat	0.1	sat	0.1	(none)	(none)
/nas3/data/axeyum/corpus/smtlib-2024/non-incremental/non-incremental/QF_ABV/dwp_formulas/try5_small_true_functions_wp_md5sum.md5_process_block.il.wp.smt2	sat	3.5	sat	3.7	(none)	(none)
/nas3/data/axeyum/corpus/smtlib-2024/non-incremental/non-incremental/QF_ABV/egt/egt-0182.smt2	sat	0.1	sat	0.1	(none)	(none)
/nas3/data/axeyum/corpus/smtlib-2024/non-incremental/non-incremental/QF_ABV/egt/egt-0487.smt2	unsat	0.1	unsat	0.1	(none)	(none)
/nas3/data/axeyum/corpus/smtlib-2024/non-incremental/non-incremental/QF_ABV/egt/egt-0796.smt2	unsat	0.1	unsat	0.1	(none)	(none)
/nas3/data/axeyum/corpus/smtlib-2024/non-incremental/non-incremental/QF_ABV/egt/egt-1098.smt2	sat	0.1	sat	0.1	(none)	(none)
/nas3/data/axeyum/corpus/smtlib-2024/non-incremental/non-incremental/QF_ABV/egt/egt-1404.smt2	sat	0.1	sat	0.1	(none)	(none)
/nas3/data/axeyum/corpus/smtlib-2024/non-incremental/non-incremental/QF_ABV/egt/egt-1723.smt2	unsat	0.1	unsat	0.1	(none)	(none)
/nas3/data/axeyum/corpus/smtlib-2024/non-incremental/non-incremental/QF_ABV/egt/egt-2026.smt2	unsat	0.1	unsat	0.1	(none)	(none)
/nas3/data/axeyum/corpus/smtlib-2024/non-incremental/non-incremental/QF_ABV/egt/egt-2337.smt2	sat	0.1	sat	0.1	(none)	(none)
/nas3/data/axeyum/corpus/smtlib-2024/non-incremental/non-incremental/QF_ABV/egt/egt-2643.smt2	unsat	0.1	unsat	0.1	(none)	(none)
/nas3/data/axeyum/corpus/smtlib-2024/non-incremental/non-incremental/QF_ABV/egt/egt-2957.smt2	sat	0.1	sat	0.1	(none)	(none)
/nas3/data/axeyum/corpus/smtlib-2024/non-incremental/non-incremental/QF_ABV/egt/egt-3265.smt2	sat	0.1	sat	0.1	(none)	(none)
/nas3/data/axeyum/corpus/smtlib-2024/non-incremental/non-incremental/QF_ABV/egt/egt-3569.smt2	unsat	0.1	unsat	0.1	(none)	(none)
/nas3/data/axeyum/corpus/smtlib-2024/non-incremental/non-incremental/QF_ABV/egt/egt-3872.smt2	sat	0.1	sat	0.1	(none)	(none)
/nas3/data/axeyum/corpus/smtlib-2024/non-incremental/non-incremental/QF_ABV/egt/egt-4180.smt2	sat	0.1	sat	0.1	(none)	(none)
/nas3/data/axeyum/corpus/smtlib-2024/non-incremental/non-incremental/QF_ABV/egt/egt-4487.smt2	sat	0.1	sat	0.1	(none)	(none)
/nas3/data/axeyum/corpus/smtlib-2024/non-incremental/non-incremental/QF_ABV/egt/egt-4794.smt2	unsat	0.1	unsat	0.1	(none)	(none)
