level	file	threshold_mult	admitted_at_level	source_arm	verdict	ms	exit_status	peak_rss_kb	decided_by
2	QF_LRA/2017-Heizmann-UltimateInvariantSynthesis/_array1.i_3_2_2.bpl_11.smt2	1	True	shipped	unknown	24031	0	33204	none
4	QF_LRA/2017-Heizmann-UltimateInvariantSynthesis/_array1.i_3_2_2.bpl_11.smt2	1	True	shipped	unknown	24031	0	33204	none
16	QF_LRA/2017-Heizmann-UltimateInvariantSynthesis/_array1.i_3_2_2.bpl_11.smt2	1	True	shipped	unknown	24031	0	33204	none
off	QF_LRA/2017-Heizmann-UltimateInvariantSynthesis/_array1.i_3_2_2.bpl_11.smt2	1	True	shipped	unknown	24031	0	33204	none
2	QF_LRA/2017-Heizmann-UltimateInvariantSynthesis/_count_by_k.i_3_3_2.bpl_7.smt2	1	True	shipped	unknown	24028	0	31368	none
4	QF_LRA/2017-Heizmann-UltimateInvariantSynthesis/_count_by_k.i_3_3_2.bpl_7.smt2	1	True	shipped	unknown	24028	0	31368	none
16	QF_LRA/2017-Heizmann-UltimateInvariantSynthesis/_count_by_k.i_3_3_2.bpl_7.smt2	1	True	shipped	unknown	24028	0	31368	none
off	QF_LRA/2017-Heizmann-UltimateInvariantSynthesis/_count_by_k.i_3_3_2.bpl_7.smt2	1	True	shipped	unknown	24028	0	31368	none
2	QF_LRA/2017-Heizmann-UltimateInvariantSynthesis/_half_2.i_3_6_2.bpl_7.smt2	1	True	shipped	unknown	24033	0	34340	none
4	QF_LRA/2017-Heizmann-UltimateInvariantSynthesis/_half_2.i_3_6_2.bpl_7.smt2	1	True	shipped	unknown	24033	0	34340	none
16	QF_LRA/2017-Heizmann-UltimateInvariantSynthesis/_half_2.i_3_6_2.bpl_7.smt2	1	True	shipped	unknown	24033	0	34340	none
off	QF_LRA/2017-Heizmann-UltimateInvariantSynthesis/_half_2.i_3_6_2.bpl_7.smt2	1	True	shipped	unknown	24033	0	34340	none
2	QF_LRA/2017-Heizmann-UltimateInvariantSynthesis/_sanfoundry_10_ground.i_6_3_3.bpl_13.smt2	18	False	shipped	unknown	24533	0	148668	none
4	QF_LRA/2017-Heizmann-UltimateInvariantSynthesis/_sanfoundry_10_ground.i_6_3_3.bpl_13.smt2	18	False	shipped	unknown	24533	0	148668	none
16	QF_LRA/2017-Heizmann-UltimateInvariantSynthesis/_sanfoundry_10_ground.i_6_3_3.bpl_13.smt2	18	False	shipped	unknown	24533	0	148668	none
off	QF_LRA/2017-Heizmann-UltimateInvariantSynthesis/_sanfoundry_10_ground.i_6_3_3.bpl_13.smt2	18	True	65536	unknown	24533	0	168884	none
2	QF_LRA/2017-Heizmann-UltimateInvariantSynthesis/_standard_copy3_ground.i_3_2_2.bpl_7.smt2	1	True	shipped	unknown	24132	0	28916	none
4	QF_LRA/2017-Heizmann-UltimateInvariantSynthesis/_standard_copy3_ground.i_3_2_2.bpl_7.smt2	1	True	shipped	unknown	24132	0	28916	none
16	QF_LRA/2017-Heizmann-UltimateInvariantSynthesis/_standard_copy3_ground.i_3_2_2.bpl_7.smt2	1	True	shipped	unknown	24132	0	28916	none
off	QF_LRA/2017-Heizmann-UltimateInvariantSynthesis/_standard_copy3_ground.i_3_2_2.bpl_7.smt2	1	True	shipped	unknown	24132	0	28916	none
2	QF_LRA/2017-Heizmann-UltimateInvariantSynthesis/_standard_init5_ground.i_3_2_2.bpl_7.smt2	2	True	65536	unknown	24131	0	33604	none
4	QF_LRA/2017-Heizmann-UltimateInvariantSynthesis/_standard_init5_ground.i_3_2_2.bpl_7.smt2	2	True	65536	unknown	24131	0	33604	none
16	QF_LRA/2017-Heizmann-UltimateInvariantSynthesis/_standard_init5_ground.i_3_2_2.bpl_7.smt2	2	True	65536	unknown	24131	0	33604	none
off	QF_LRA/2017-Heizmann-UltimateInvariantSynthesis/_standard_init5_ground.i_3_2_2.bpl_7.smt2	2	True	65536	unknown	24131	0	33604	none
2	QF_LRA/2017-Heizmann-UltimateInvariantSynthesis/_standard_strcmp_ground.i_4_2_2.bpl_11.smt2	8	False	shipped	unknown	24131	0	59924	none
4	QF_LRA/2017-Heizmann-UltimateInvariantSynthesis/_standard_strcmp_ground.i_4_2_2.bpl_11.smt2	8	False	shipped	unknown	24131	0	59924	none
16	QF_LRA/2017-Heizmann-UltimateInvariantSynthesis/_standard_strcmp_ground.i_4_2_2.bpl_11.smt2	8	True	65536	unknown	24130	0	536528	none
off	QF_LRA/2017-Heizmann-UltimateInvariantSynthesis/_standard_strcmp_ground.i_4_2_2.bpl_11.smt2	8	True	65536	unknown	24130	0	536528	none
2	QF_LRA/2017-Heizmann-UltimateInvariantSynthesis/_standard_two_index_06.i_3_2_2.bpl_7.smt2	1	True	shipped	unknown	24033	0	31556	none
4	QF_LRA/2017-Heizmann-UltimateInvariantSynthesis/_standard_two_index_06.i_3_2_2.bpl_7.smt2	1	True	shipped	unknown	24033	0	31556	none
16	QF_LRA/2017-Heizmann-UltimateInvariantSynthesis/_standard_two_index_06.i_3_2_2.bpl_7.smt2	1	True	shipped	unknown	24033	0	31556	none
off	QF_LRA/2017-Heizmann-UltimateInvariantSynthesis/_standard_two_index_06.i_3_2_2.bpl_7.smt2	1	True	shipped	unknown	24033	0	31556	none
2	QF_LRA/2019-ezsmt/Labyrinth/SCC_Strong/0051-labyrinth-12-0.smt2	14	False	shipped	unknown	25133	0	759736	none
4	QF_LRA/2019-ezsmt/Labyrinth/SCC_Strong/0051-labyrinth-12-0.smt2	14	False	shipped	unknown	25133	0	759736	none
16	QF_LRA/2019-ezsmt/Labyrinth/SCC_Strong/0051-labyrinth-12-0.smt2	14	True	65536	unknown	25133	0	793316	none
off	QF_LRA/2019-ezsmt/Labyrinth/SCC_Strong/0051-labyrinth-12-0.smt2	14	True	65536	unknown	25133	0	793316	none
2	QF_LRA/2019-ezsmt/Labyrinth/SCC_Strong/0132-labyrinth-12-0.smt2	14	False	shipped	unknown	25134	0	760416	none
4	QF_LRA/2019-ezsmt/Labyrinth/SCC_Strong/0132-labyrinth-12-0.smt2	14	False	shipped	unknown	25134	0	760416	none
16	QF_LRA/2019-ezsmt/Labyrinth/SCC_Strong/0132-labyrinth-12-0.smt2	14	True	65536	unknown	25133	0	794000	none
off	QF_LRA/2019-ezsmt/Labyrinth/SCC_Strong/0132-labyrinth-12-0.smt2	14	True	65536	unknown	25133	0	794000	none
2	QF_LRA/2019-ezsmt/blending/1.smt2	1	True	shipped	unsat	5415	0	37648	nra
4	QF_LRA/2019-ezsmt/blending/1.smt2	1	True	shipped	unsat	5415	0	37648	nra
16	QF_LRA/2019-ezsmt/blending/1.smt2	1	True	shipped	unsat	5415	0	37648	nra
off	QF_LRA/2019-ezsmt/blending/1.smt2	1	True	shipped	unsat	5415	0	37648	nra
2	QF_LRA/2019-ezsmt/blending/17.smt2	1	True	shipped	sat	110	0	18908	nra
4	QF_LRA/2019-ezsmt/blending/17.smt2	1	True	shipped	sat	110	0	18908	nra
16	QF_LRA/2019-ezsmt/blending/17.smt2	1	True	shipped	sat	110	0	18908	nra
off	QF_LRA/2019-ezsmt/blending/17.smt2	1	True	shipped	sat	110	0	18908	nra
2	QF_LRA/2019-ezsmt/blending/24.smt2	1	True	shipped	sat	3513	0	28648	nra
4	QF_LRA/2019-ezsmt/blending/24.smt2	1	True	shipped	sat	3513	0	28648	nra
16	QF_LRA/2019-ezsmt/blending/24.smt2	1	True	shipped	sat	3513	0	28648	nra
off	QF_LRA/2019-ezsmt/blending/24.smt2	1	True	shipped	sat	3513	0	28648	nra
2	QF_LRA/2019-ezsmt/blending/5.smt2	1	True	shipped	unsat	5414	0	38656	nra
4	QF_LRA/2019-ezsmt/blending/5.smt2	1	True	shipped	unsat	5414	0	38656	nra
16	QF_LRA/2019-ezsmt/blending/5.smt2	1	True	shipped	unsat	5414	0	38656	nra
off	QF_LRA/2019-ezsmt/blending/5.smt2	1	True	shipped	unsat	5414	0	38656	nra
2	QF_LRA/2019-ezsmt/robotics/1_4.smt2	1	True	shipped	unsat	109	0	15316	dl-online
4	QF_LRA/2019-ezsmt/robotics/1_4.smt2	1	True	shipped	unsat	109	0	15316	dl-online
16	QF_LRA/2019-ezsmt/robotics/1_4.smt2	1	True	shipped	unsat	109	0	15316	dl-online
off	QF_LRA/2019-ezsmt/robotics/1_4.smt2	1	True	shipped	unsat	109	0	15316	dl-online
2	QF_LRA/2019-ezsmt/robotics/4_3.smt2	1	True	shipped	unsat	109	0	15664	dl-online
4	QF_LRA/2019-ezsmt/robotics/4_3.smt2	1	True	shipped	unsat	109	0	15664	dl-online
16	QF_LRA/2019-ezsmt/robotics/4_3.smt2	1	True	shipped	unsat	109	0	15664	dl-online
off	QF_LRA/2019-ezsmt/robotics/4_3.smt2	1	True	shipped	unsat	109	0	15664	dl-online
2	QF_LRA/2019-ezsmt/routingMin/SCC_strong/d50.9.smt2	1	True	shipped	sat	210	0	24320	dl-online
4	QF_LRA/2019-ezsmt/routingMin/SCC_strong/d50.9.smt2	1	True	shipped	sat	210	0	24320	dl-online
16	QF_LRA/2019-ezsmt/routingMin/SCC_strong/d50.9.smt2	1	True	shipped	sat	210	0	24320	dl-online
off	QF_LRA/2019-ezsmt/routingMin/SCC_strong/d50.9.smt2	1	True	shipped	sat	210	0	24320	dl-online
2	QF_LRA/2019-ezsmt/travellingSalesperson/rand_70_300_1155482584_12.lp.smt2	1	True	shipped	sat	5015	0	80768	dl-online
4	QF_LRA/2019-ezsmt/travellingSalesperson/rand_70_300_1155482584_12.lp.smt2	1	True	shipped	sat	5015	0	80768	dl-online
16	QF_LRA/2019-ezsmt/travellingSalesperson/rand_70_300_1155482584_12.lp.smt2	1	True	shipped	sat	5015	0	80768	dl-online
off	QF_LRA/2019-ezsmt/travellingSalesperson/rand_70_300_1155482584_12.lp.smt2	1	True	shipped	sat	5015	0	80768	dl-online
2	QF_LRA/2019-ezsmt/travellingSalesperson/rand_80_340_1159656267_0.lp.smt2	5	False	shipped	unknown	24234	0	110616	none
4	QF_LRA/2019-ezsmt/travellingSalesperson/rand_80_340_1159656267_0.lp.smt2	5	False	shipped	unknown	24234	0	110616	none
16	QF_LRA/2019-ezsmt/travellingSalesperson/rand_80_340_1159656267_0.lp.smt2	5	True	65536	unknown	24131	0	126252	none
off	QF_LRA/2019-ezsmt/travellingSalesperson/rand_80_340_1159656267_0.lp.smt2	5	True	65536	unknown	24131	0	126252	none
2	QF_LRA/2019-ezsmt/travellingSalesperson/rand_80_340_1159656267_4.lp.smt2	1	True	shipped	sat	9818	0	92944	dl-online
4	QF_LRA/2019-ezsmt/travellingSalesperson/rand_80_340_1159656267_4.lp.smt2	1	True	shipped	sat	9818	0	92944	dl-online
16	QF_LRA/2019-ezsmt/travellingSalesperson/rand_80_340_1159656267_4.lp.smt2	1	True	shipped	sat	9818	0	92944	dl-online
off	QF_LRA/2019-ezsmt/travellingSalesperson/rand_80_340_1159656267_4.lp.smt2	1	True	shipped	sat	9818	0	92944	dl-online
2	QF_LRA/2019-ezsmt/travellingSalesperson/tsp_rand_70_300_1155482584_7.lp.smt2	1	True	shipped	sat	9219	0	87716	dl-online
4	QF_LRA/2019-ezsmt/travellingSalesperson/tsp_rand_70_300_1155482584_7.lp.smt2	1	True	shipped	sat	9219	0	87716	dl-online
16	QF_LRA/2019-ezsmt/travellingSalesperson/tsp_rand_70_300_1155482584_7.lp.smt2	1	True	shipped	sat	9219	0	87716	dl-online
off	QF_LRA/2019-ezsmt/travellingSalesperson/tsp_rand_70_300_1155482584_7.lp.smt2	1	True	shipped	sat	9219	0	87716	dl-online
2	QF_LRA/DTP-Scheduling/constraints-cooking06.smt2	1	True	shipped	sat	109	0	15724	dl-online
4	QF_LRA/DTP-Scheduling/constraints-cooking06.smt2	1	True	shipped	sat	109	0	15724	dl-online
16	QF_LRA/DTP-Scheduling/constraints-cooking06.smt2	1	True	shipped	sat	109	0	15724	dl-online
off	QF_LRA/DTP-Scheduling/constraints-cooking06.smt2	1	True	shipped	sat	109	0	15724	dl-online
2	QF_LRA/DTP-Scheduling/constraints-cooking14.smt2	1	True	shipped	sat	110	0	16308	dl-online
4	QF_LRA/DTP-Scheduling/constraints-cooking14.smt2	1	True	shipped	sat	110	0	16308	dl-online
16	QF_LRA/DTP-Scheduling/constraints-cooking14.smt2	1	True	shipped	sat	110	0	16308	dl-online
off	QF_LRA/DTP-Scheduling/constraints-cooking14.smt2	1	True	shipped	sat	110	0	16308	dl-online
2	QF_LRA/DTP-Scheduling/constraints-cooking22.smt2	1	True	shipped	sat	110	0	16680	dl-online
4	QF_LRA/DTP-Scheduling/constraints-cooking22.smt2	1	True	shipped	sat	110	0	16680	dl-online
16	QF_LRA/DTP-Scheduling/constraints-cooking22.smt2	1	True	shipped	sat	110	0	16680	dl-online
off	QF_LRA/DTP-Scheduling/constraints-cooking22.smt2	1	True	shipped	sat	110	0	16680	dl-online
2	QF_LRA/DTP-Scheduling/constraints-tempo-depth-30.smt2	1	True	shipped	sat	108	0	18000	dl-online
4	QF_LRA/DTP-Scheduling/constraints-tempo-depth-30.smt2	1	True	shipped	sat	108	0	18000	dl-online
16	QF_LRA/DTP-Scheduling/constraints-tempo-depth-30.smt2	1	True	shipped	sat	108	0	18000	dl-online
off	QF_LRA/DTP-Scheduling/constraints-tempo-depth-30.smt2	1	True	shipped	sat	108	0	18000	dl-online
2	QF_LRA/DTP-Scheduling/constraints-tempo-depth-9.smt2	1	True	shipped	sat	108	0	16312	dl-online
4	QF_LRA/DTP-Scheduling/constraints-tempo-depth-9.smt2	1	True	shipped	sat	108	0	16312	dl-online
16	QF_LRA/DTP-Scheduling/constraints-tempo-depth-9.smt2	1	True	shipped	sat	108	0	16312	dl-online
off	QF_LRA/DTP-Scheduling/constraints-tempo-depth-9.smt2	1	True	shipped	sat	108	0	16312	dl-online
2	QF_LRA/DTP-Scheduling/constraints-tempo-matrix8x8.pddl.smt2	1	True	shipped	sat	1310	0	46128	dl-online
4	QF_LRA/DTP-Scheduling/constraints-tempo-matrix8x8.pddl.smt2	1	True	shipped	sat	1310	0	46128	dl-online
16	QF_LRA/DTP-Scheduling/constraints-tempo-matrix8x8.pddl.smt2	1	True	shipped	sat	1310	0	46128	dl-online
off	QF_LRA/DTP-Scheduling/constraints-tempo-matrix8x8.pddl.smt2	1	True	shipped	sat	1310	0	46128	dl-online
2	QF_LRA/DTP-Scheduling/constraints-tempo-width-40.smt2	1	True	shipped	sat	1211	0	73040	dl-online
4	QF_LRA/DTP-Scheduling/constraints-tempo-width-40.smt2	1	True	shipped	sat	1211	0	73040	dl-online
16	QF_LRA/DTP-Scheduling/constraints-tempo-width-40.smt2	1	True	shipped	sat	1211	0	73040	dl-online
off	QF_LRA/DTP-Scheduling/constraints-tempo-width-40.smt2	1	True	shipped	sat	1211	0	73040	dl-online
2	QF_LRA/DTP-Scheduling/constraints-tempo-width-9.smt2	1	True	shipped	sat	110	0	18268	dl-online
4	QF_LRA/DTP-Scheduling/constraints-tempo-width-9.smt2	1	True	shipped	sat	110	0	18268	dl-online
16	QF_LRA/DTP-Scheduling/constraints-tempo-width-9.smt2	1	True	shipped	sat	110	0	18268	dl-online
off	QF_LRA/DTP-Scheduling/constraints-tempo-width-9.smt2	1	True	shipped	sat	110	0	18268	dl-online
2	QF_LRA/DTP-Scheduling/constraints-temporal-machine-shop-2-3-A10.smt2	1	True	shipped	sat	110	0	16620	dl-online
4	QF_LRA/DTP-Scheduling/constraints-temporal-machine-shop-2-3-A10.smt2	1	True	shipped	sat	110	0	16620	dl-online
16	QF_LRA/DTP-Scheduling/constraints-temporal-machine-shop-2-3-A10.smt2	1	True	shipped	sat	110	0	16620	dl-online
off	QF_LRA/DTP-Scheduling/constraints-temporal-machine-shop-2-3-A10.smt2	1	True	shipped	sat	110	0	16620	dl-online
2	QF_LRA/DTP-Scheduling/constraints-tms-2-3-light-04.smt2	1	True	shipped	sat	110	0	15452	dl-online
4	QF_LRA/DTP-Scheduling/constraints-tms-2-3-light-04.smt2	1	True	shipped	sat	110	0	15452	dl-online
16	QF_LRA/DTP-Scheduling/constraints-tms-2-3-light-04.smt2	1	True	shipped	sat	110	0	15452	dl-online
off	QF_LRA/DTP-Scheduling/constraints-tms-2-3-light-04.smt2	1	True	shipped	sat	110	0	15452	dl-online
2	QF_LRA/DTP-Scheduling/constraints-tms-2-3-light-30.smt2	1	True	shipped	sat	110	0	18680	dl-online
4	QF_LRA/DTP-Scheduling/constraints-tms-2-3-light-30.smt2	1	True	shipped	sat	110	0	18680	dl-online
16	QF_LRA/DTP-Scheduling/constraints-tms-2-3-light-30.smt2	1	True	shipped	sat	110	0	18680	dl-online
off	QF_LRA/DTP-Scheduling/constraints-tms-2-3-light-30.smt2	1	True	shipped	sat	110	0	18680	dl-online
2	QF_LRA/LassoRanker/CooperatingT2/afagp-fail.t2.c_Iteration1_Lasso_7-phaseTemplate.smt2	19	False	shipped	unknown	24232	0	152836	none
4	QF_LRA/LassoRanker/CooperatingT2/afagp-fail.t2.c_Iteration1_Lasso_7-phaseTemplate.smt2	19	False	shipped	unknown	24232	0	152836	none
16	QF_LRA/LassoRanker/CooperatingT2/afagp-fail.t2.c_Iteration1_Lasso_7-phaseTemplate.smt2	19	False	shipped	unknown	24232	0	152836	none
off	QF_LRA/LassoRanker/CooperatingT2/afagp-fail.t2.c_Iteration1_Lasso_7-phaseTemplate.smt2	19	True	65536	unknown	24432	0	3961624	none
2	QF_LRA/LassoRanker/CooperatingT2/brp_withassume.t2.c_Iteration1_Loop_6-phaseTemplate.smt2	80	False	shipped	unknown	25133	0	624472	none
4	QF_LRA/LassoRanker/CooperatingT2/brp_withassume.t2.c_Iteration1_Loop_6-phaseTemplate.smt2	80	False	shipped	unknown	25133	0	624472	none
16	QF_LRA/LassoRanker/CooperatingT2/brp_withassume.t2.c_Iteration1_Loop_6-phaseTemplate.smt2	80	False	shipped	unknown	25133	0	624472	none
off	QF_LRA/LassoRanker/CooperatingT2/brp_withassume.t2.c_Iteration1_Loop_6-phaseTemplate.smt2	80	True	65536	unknown	25132	0	719236	none
2	QF_LRA/LassoRanker/CooperatingT2/brp_withassume.t2.c_Iteration8_Loop_6-phaseTemplate.smt2	108	False	shipped	unknown	25129	0	754988	none
4	QF_LRA/LassoRanker/CooperatingT2/brp_withassume.t2.c_Iteration8_Loop_6-phaseTemplate.smt2	108	False	shipped	unknown	25129	0	754988	none
16	QF_LRA/LassoRanker/CooperatingT2/brp_withassume.t2.c_Iteration8_Loop_6-phaseTemplate.smt2	108	False	shipped	unknown	25129	0	754988	none
off	QF_LRA/LassoRanker/CooperatingT2/brp_withassume.t2.c_Iteration8_Loop_6-phaseTemplate.smt2	108	True	65536	unknown	25132	0	912732	none
2	QF_LRA/LassoRanker/CooperatingT2/collatz.t2.c_Iteration3_Loop_7-phaseTemplate.smt2	13	False	shipped	unknown	24131	0	98932	none
4	QF_LRA/LassoRanker/CooperatingT2/collatz.t2.c_Iteration3_Loop_7-phaseTemplate.smt2	13	False	shipped	unknown	24131	0	98932	none
16	QF_LRA/LassoRanker/CooperatingT2/collatz.t2.c_Iteration3_Loop_7-phaseTemplate.smt2	13	True	65536	unknown	24330	0	1753504	none
off	QF_LRA/LassoRanker/CooperatingT2/collatz.t2.c_Iteration3_Loop_7-phaseTemplate.smt2	13	True	65536	unknown	24330	0	1753504	none
2	QF_LRA/LassoRanker/CooperatingT2/disj_nightmare.t2.c_Iteration2_Loop_7-phaseTemplate.smt2	64	False	shipped	unknown	25133	0	534760	none
4	QF_LRA/LassoRanker/CooperatingT2/disj_nightmare.t2.c_Iteration2_Loop_7-phaseTemplate.smt2	64	False	shipped	unknown	25133	0	534760	none
16	QF_LRA/LassoRanker/CooperatingT2/disj_nightmare.t2.c_Iteration2_Loop_7-phaseTemplate.smt2	64	False	shipped	unknown	25133	0	534760	none
off	QF_LRA/LassoRanker/CooperatingT2/disj_nightmare.t2.c_Iteration2_Loop_7-phaseTemplate.smt2	64	True	65536	unknown	25132	0	606676	none
2	QF_LRA/LassoRanker/CooperatingT2/elmhes.c.i.elmhes.pl.t2.fixed.t2.c_Iteration5_Loop_6-phaseTemplate.smt2	21	False	shipped	unknown	24333	0	169736	none
4	QF_LRA/LassoRanker/CooperatingT2/elmhes.c.i.elmhes.pl.t2.fixed.t2.c_Iteration5_Loop_6-phaseTemplate.smt2	21	False	shipped	unknown	24333	0	169736	none
16	QF_LRA/LassoRanker/CooperatingT2/elmhes.c.i.elmhes.pl.t2.fixed.t2.c_Iteration5_Loop_6-phaseTemplate.smt2	21	False	shipped	unknown	24333	0	169736	none
off	QF_LRA/LassoRanker/CooperatingT2/elmhes.c.i.elmhes.pl.t2.fixed.t2.c_Iteration5_Loop_6-phaseTemplate.smt2	21	True	65536	unknown	24331	0	180768	none
