file	A	A_ms	A_rc	B	B_ms	B_rc	first	status
QF_IDL/20210312-Bouvier/vlsat3_c00.smt2	unknown	25016	0	unknown	25019	0	A	unsat
QF_IDL/20210312-Bouvier/vlsat3_c24.smt2	unknown	25014	0	unknown	25019	0	B	unsat
QF_IDL/20210312-Bouvier/vlsat3_c48.smt2	unknown	25018	0	unknown	25017	0	A	unsat
QF_IDL/20210312-Bouvier/vlsat3_c72.smt2	unknown	17212	0	unknown	17114	0	B	unsat
QF_IDL/20210312-Bouvier/vlsat3_c96.smt2	unknown	25017	0	unknown	25014	0	A	unsat
QF_IDL/20210312-Bouvier/vlsat3_i20.smt2	unknown	24020	0	unknown	24019	0	B	sat
QF_IDL/20210312-Bouvier/vlsat3_i44.smt2	unknown	24723	0	unknown	24215	0	A	sat
QF_IDL/20210312-Bouvier/vlsat3_i68.smt2	unknown	25219	0	unknown	25319	0	B	sat
QF_IDL/20210312-Bouvier/vlsat3_i92.smt2	unknown	23019	0	unknown	22720	0	A	sat
QF_IDL/20220214-jobshop-BohanLi/jobshop10-2-5-5-4-4-16.smt2	sat	306	0	sat	305	0	B	sat
QF_IDL/20220214-jobshop-BohanLi/jobshop20-2-10-10-4-4-16.smt2	unknown	25020	0	unknown	25015	0	A	sat
QF_IDL/20220214-jobshop-BohanLi/jobshop32-2-16-16-4-4-16.smt2	unknown	25020	0	unknown	25020	0	B	sat
QF_IDL/20220214-jobshop-BohanLi/jobshop42-2-21-21-4-4-16.smt2	unknown	21319	0	unknown	21321	0	A	sat
QF_IDL/20220214-jobshop-BohanLi/jobshop54-2-27-27-4-4-16.smt2	unknown	21719	0	unknown	21619	0	B	sat
QF_IDL/Averest/binary_search/BinarySearch_live_bgmc002.smt2	sat	106	0	sat	105	0	A	sat
QF_IDL/Averest/buble_sort/BubbleSort_live_blmc003.smt2	sat	406	0	sat	406	0	B	sat
QF_IDL/Averest/buble_sort/BubbleSort_safe_blmc004.smt2	unsat	406	0	unsat	406	0	A	unsat
QF_IDL/Averest/insertion_sort/InsertionSort_live_bgmc003.smt2	sat	206	0	sat	207	0	B	sat
QF_IDL/Averest/insertion_sort/InsertionSort_safe_bgmc005.smt2	sat	206	0	sat	206	0	A	sat
QF_IDL/Averest/min_max/MinMax_safe_bgmc000.smt2	unsat	106	0	unsat	106	0	B	unsat
QF_IDL/Averest/partition/Partition_live_blmc004.smt2	unsat	206	0	unsat	205	0	A	unsat
QF_IDL/Averest/selection_sort/SelectionSort_live_blmc004.smt2	sat	706	0	sat	707	0	B	sat
QF_IDL/Averest/selection_sort/SelectionSort_safe_blmc007.smt2	sat	1007	0	sat	1006	0	A	sat
QF_IDL/Averest/sorting_network/SortingNetwork4_safe_blmc002.smt2	unsat	106	0	unsat	106	0	B	unsat
QF_IDL/Averest/sorting_network/SortingNetwork8_safe_blmc000.smt2	unsat	106	0	unsat	105	0	A	unsat
QF_IDL/DTP/DTP_k2_n35_c175_s3.smt2	sat	206	0	sat	205	0	B	sat
QF_IDL/DTP/DTP_k2_n35_c210_s7.smt2	sat	306	0	sat	306	0	A	sat
QF_IDL/RTCL/b01_tf_20/ckt_PROP0_tf_20.smt2	unsat	106	0	unsat	105	0	B	unsat
QF_IDL/RTCL/b13_tf_25/ckt_PROP8_tf_25.smt2	unsat	106	0	unsat	106	0	A	unsat
QF_IDL/asp/BlockedNQueens/156.48.1960.36.1721259656.dat.smt2	unknown	21216	0	unknown	21219	0	B	sat
