file	first	a_rc	a_ms	a_verdict	a_total_ms	b_rc	b_ms	b_verdict	b_total_ms	b_warm_build	b_warm_checks	b_warm_declines	b_warm_cold_restarts	a_cold_builds	b_cold_builds	status
QF_LRA/meti-tarski/cbrt/3/cbrt-problem-3-chunk-0040.smt2	A	0	107	unsat	4	0	108	unsat	4	off	0	0	0	0	0	unsat
QF_LRA/LassoRanker/CooperatingT2/disj_nightmare.t2.c_Iteration2_Loop_7-phaseTemplate.smt2	B	0	25131	unknown		0	25130	unknown								unsat
QF_LRA/sc/sc-13.base.cvc.smt2	A	0	24127	unknown	24032	0	24028	unknown	24002	built	1390	1	0	1211	0	unsat
QF_LRA/meti-tarski/cbrt/3/weak/cbrt-problem-3-weak-chunk-0065.smt2	B	0	107	sat	0	0	107	sat	0	off	0	0	0	0	0	sat
QF_LRA/2019-ezsmt/travellingSalesperson/rand_70_300_1155482584_12.lp.smt2	A	0	3710	sat	3605	0	3610	sat	3507	off	0	0	0	0	0	unknown
QF_LRA/sal/gasburner/gasburner-prop3-12.smt2	B	0	8815	unsat	8792	0	8915	unsat	8862	off	0	0	0	0	0	unsat
QF_LRA/LassoRanker/Ultimate/OpposedDisjuncts.bpl_Iteration1_Lasso_2-pieceTemplate.smt2	A	0	24131	unknown	24050	0	24230	unknown	24105	built	288	1	0	212	0	unsat
QF_LRA/LassoRanker/CooperatingT2/afagp-fail.t2.c_Iteration1_Lasso_7-phaseTemplate.smt2	B	0	24329	unknown	24227	0	24328	unknown	24177	built	106	1	0	73	0	unsat
QF_LRA/LassoRanker/CooperatingT2/janne_complex.t2.c_Iteration3_Lasso_4-pieceTemplate.smt2	A	0	24628	unknown	24415	0	24428	unknown	24276	built	35	1	0	31	0	unsat
QF_LRA/LassoRanker/CooperatingT2/sas2.t2.c_Iteration6_Lasso_6-phaseTemplate.smt2	B	0	24828	unknown	24685	0	24829	unknown	24666	built	34	1	0	27	0	sat
QF_LRA/LassoRanker/CooperatingT2/ludcmp.c.i.ludcmp.pl.t2.fixed.t2.c_Iteration8_Loop_7-phaseTemplate.smt2	A	0	24229	unknown	24104	0	24426	unknown	24270	built	135	1	0	91	0	sat
QF_LRA/DTP-Scheduling/constraints-tms-2-3-light-04.smt2	B	0	107	sat	1	0	107	sat	1	off	0	0	0	0	0	sat
QF_LRA/meti-tarski/Chua/1/VC2/U/Chua-1-VC2-U-chunk-0128.smt2	A	0	107	sat	0	0	107	sat	0	off	0	0	0	0	0	sat
QF_LRA/sc/sc-23.base.cvc.smt2	B	0	24029	unknown	24008	0	24129	unknown	24017	built	1070	1	0	1101	0	unsat
QF_LRA/LassoRanker/SV-COMP/aviad_true-termination.c_Iteration1_Loop_4-nestedTemplate.smt2	A	0	25130	unknown		0	25127	unknown								sat
QF_LRA/LassoRanker/Ultimate/bound-scaled600.bpl_Iteration1_Loop_7-phaseTemplate.smt2	B	0	25124	unknown		0	25130	unknown								sat
