file	esc_verdict_150s	esc_giveup
/nas3/data/axeyum/corpus/smtlib-2024/non-incremental/non-incremental/QF_NIA/20170427-VeryMax/CInteger/Stroeder_15__ChenFlurMukhopadhyay-SAS2012-Ex2.02_false-termination.c__p21008_terminationG_0.smt2	unknown	kind=Incomplete detail=bounded integer model overflowed at width 64 (assertion #586 is false over exact semantics); widen the bound
/nas3/data/axeyum/corpus/smtlib-2024/non-incremental/non-incremental/QF_NIA/20170427-VeryMax/CInteger/Stroeder_15__LeikeHeizmann-WST2014-Ex5_false-termination.c__p24052_edge_closing_0.smt2	unknown	kind=Incomplete detail=bounded integer model overflowed at width 64 (assertion #236 is false over exact semantics); widen the bound
/nas3/data/axeyum/corpus/smtlib-2024/non-incremental/non-incremental/QF_NIA/20170427-VeryMax/CInteger/Stroeder_15__Sunset.c__terminationQ_0_0.smt2	unknown	kind=Incomplete detail=bounded integer model overflowed at width 64 (assertion #376 is false over exact semantics); widen the bound
/nas3/data/axeyum/corpus/smtlib-2024/non-incremental/non-incremental/QF_NIA/20170427-VeryMax/CInteger/Ton_Chanh_15__Singapore_true-termination.c__p27347_terminationG_0.smt2	unknown	kind=Incomplete detail=bounded integer model overflowed at width 64 (assertion #408 is false over exact semantics); widen the bound
/nas3/data/axeyum/corpus/smtlib-2024/non-incremental/non-incremental/QF_NIA/20170427-VeryMax/ITS/From_AProVE_2014__juHashMapCreatePut.jar-obl-10__p6041_safety_0.smt2	unknown	kind=EncodingBudget detail=estimated 213179430 CNF clauses before lowering exceeds budget 64000000 (oversized encoding refused gracefully)
/nas3/data/axeyum/corpus/smtlib-2024/non-incremental/non-incremental/QF_NIA/20170427-VeryMax/ITS/From_AProVE_2014__MainDelete.jar-obl-10__p10430_safety_0.smt2	unknown	kind=Incomplete detail=bounded integer model overflowed at width 64 (assertion #784 is false over exact semantics); widen the bound
/nas3/data/axeyum/corpus/smtlib-2024/non-incremental/non-incremental/QF_NIA/20170427-VeryMax/ITS/From_AProVE_2014__Velroyen08-complInterv3.jar-obl-8__p13362_terminationG_0.smt2	unknown	kind=Incomplete detail=bounded integer model overflowed at width 64 (assertion #288 is false over exact semantics); widen the bound
/nas3/data/axeyum/corpus/smtlib-2024/non-incremental/non-incremental/QF_NIA/20170427-VeryMax/ITS/From_AProVE_2014__whileNested_rec.jar-obl-9__p14976_terminationG_0.smt2	unknown	kind=Incomplete detail=bounded integer model overflowed at width 64 (assertion #407 is false over exact semantics); widen the bound
/nas3/data/axeyum/corpus/smtlib-2024/non-incremental/non-incremental/QF_NIA/20170427-VeryMax/ITS/From_T2__edn.t2__p20676_safety_0.smt2	sat	(none)
/nas3/data/axeyum/corpus/smtlib-2024/non-incremental/non-incremental/QF_NIA/20170427-VeryMax/ITS/From_T2__ex19.t2__p22319_terminationG_0.smt2	unknown	kind=Incomplete detail=bounded integer model overflowed at width 64 (assertion #388 is false over exact semantics); widen the bound
