file	A	A_ms	A_rc	B	B_ms	B_rc	first	status
QF_LRA/2017-Heizmann-UltimateInvariantSynthesis/_array1.i_3_2_2.bpl_11.smt2	unknown	24118	0	unknown	24117	0	A	unsat
QF_LRA/2017-Heizmann-UltimateInvariantSynthesis/_half_2.i_3_6_2.bpl_7.smt2	unknown	24020	0	unknown	24121	0	B	unsat
QF_LRA/2017-Heizmann-UltimateInvariantSynthesis/_standard_copy3_ground.i_3_2_2.bpl_7.smt2	unknown	24119	0	unknown	24116	0	A	unsat
QF_LRA/2017-Heizmann-UltimateInvariantSynthesis/_standard_strcmp_ground.i_4_2_2.bpl_11.smt2	unknown	24120	0	unknown	24120	0	B	unsat
QF_LRA/2019-ezsmt/Labyrinth/SCC_Strong/0051-labyrinth-12-0.smt2	unknown	25115	0	unknown	25123	0	A	unknown
QF_LRA/2019-ezsmt/blending/1.smt2	unsat	5108	0	unsat	5108	0	B	unknown
QF_LRA/2019-ezsmt/blending/24.smt2	sat	3409	0	sat	3406	0	A	unknown
QF_LRA/2019-ezsmt/robotics/1_4.smt2	unsat	106	0	unsat	105	0	B	unknown
QF_LRA/2019-ezsmt/routingMin/SCC_strong/d50.9.smt2	sat	105	0	sat	104	0	A	unknown
QF_LRA/2019-ezsmt/travellingSalesperson/rand_80_340_1159656267_0.lp.smt2	unknown	24120	0	unknown	24121	0	B	unknown
QF_LRA/2019-ezsmt/travellingSalesperson/tsp_rand_70_300_1155482584_7.lp.smt2	sat	3707	0	sat	3707	0	A	unknown
QF_LRA/DTP-Scheduling/constraints-cooking14.smt2	sat	104	0	sat	105	0	B	sat
QF_LRA/DTP-Scheduling/constraints-tempo-depth-30.smt2	sat	105	0	sat	106	0	A	sat
QF_LRA/DTP-Scheduling/constraints-tempo-matrix8x8.pddl.smt2	sat	1106	0	sat	1206	0	B	sat
QF_LRA/DTP-Scheduling/constraints-tempo-width-9.smt2	sat	105	0	sat	106	0	A	sat
QF_LRA/DTP-Scheduling/constraints-tms-2-3-light-04.smt2	sat	105	0	sat	105	0	B	sat
QF_LRA/LassoRanker/CooperatingT2/afagp-fail.t2.c_Iteration1_Lasso_7-phaseTemplate.smt2	unknown	24215	0	unknown	24224	0	A	unsat
QF_LRA/LassoRanker/CooperatingT2/brp_withassume.t2.c_Iteration8_Loop_6-phaseTemplate.smt2	unknown	25124	0	unknown	25123	0	B	sat
QF_LRA/LassoRanker/CooperatingT2/disj_nightmare.t2.c_Iteration2_Loop_7-phaseTemplate.smt2	unknown	25118	0	unknown	25117	0	A	unsat
QF_LRA/LassoRanker/CooperatingT2/eric.t2.c_Iteration1_Lasso_4-pieceTemplate.smt2	unknown	24418	0	unknown	24218	0	B	sat
QF_LRA/LassoRanker/CooperatingT2/firewire.t2.c_Iteration1_Lasso_4-lexTemplate.smt2	unknown	24516	0	unknown	24523	0	A	sat
QF_LRA/LassoRanker/CooperatingT2/hongyi1.t2.c_Iteration1_Loop_4-lexTemplate.smt2	unknown	24622	0	unknown	25122	0	B	sat
QF_LRA/LassoRanker/CooperatingT2/janne_complex.t2.c_Iteration3_Lasso_4-pieceTemplate.smt2	unknown	24416	0	unknown	24624	0	A	unsat
QF_LRA/LassoRanker/CooperatingT2/ludcmp.t2.c_Iteration8_Loop_7-phaseTemplate.smt2	unknown	24823	0	unknown	24825	0	B	sat
QF_LRA/LassoRanker/CooperatingT2/p-43.t2.c_Iteration4_Loop_4-pieceTemplate.smt2	unknown	24220	0	unknown	24225	0	A	sat
QF_LRA/LassoRanker/CooperatingT2/queens.t2.c_Iteration19_Loop_7-phaseTemplate.smt2	unknown	24421	0	unknown	24420	0	B	sat
QF_LRA/LassoRanker/CooperatingT2/sas2.t2.c_Iteration5_Lasso_6-phaseTemplate.smt2	unknown	24516	0	unknown	24415	0	A	sat
QF_LRA/LassoRanker/CooperatingT2/sas2.t2.c_Iteration7_Loop_7-phaseTemplate.smt2	unknown	25117	0	unknown	25120	0	B	unsat
QF_LRA/LassoRanker/CooperatingT2/toeplz.c.i.toeplz.pl.t2.fixed.t2.c_Iteration2_Loop_7-phaseTemplate.smt2	unknown	25120	0	unknown	25119	0	A	sat
