file	base	base_ms	arm	arm_ms	first
K525-013__anonym_array__p.adb_7_37_index_check___00.smt2	unsat	111257123	unsat	109858761	arm
K627-010__stable_marriage__stable_marriage.adb_348_51_index_check___00.smt2	unsat	110984700	unsat	110772098	base
K816-012__search__search.adb_25_24_assert___00.smt2	unknown	24028166523	unknown	24127748816	arm
KB10-018__cursor_location__cursor_location.adb_33_18_dead_code___00.smt2	unsat	110658438	unsat	-1610585934187620685	base
L831-037__slice__lcp.ads_12_10_index_check___00.smt2	unsat	113191193	unsat	112607585	arm
LB28-004__loop_variant__p.adb_99_66_index_check___00.smt2	unknown	24126663642	unknown	24127948665	base
M318-019__expanded_name__p.adb_6_15_length_check___00.smt2	unsat	110560587	unsat	112776628	arm
M425-032__default_init__default_init.adb_19_19_assert___00.smt2	unsat	110302731	unsat	-1610585978289102951	base
M607-025__rev_stack__list.adb_22_19_precondition2___00.smt2	unsat	111408403	unsat	1610585978511386141	arm
M613-039__expr_actions__list.adb_37_65_overflow_check___00.smt2	unknown	24327968727	unknown	24229973684	base
M806-034__array_logical_op__array_logical_ops.adb_46_22_assert___00.smt2	unsat	1610586032114313209	unsat	-1610586021883391575	arm
M806-034__concat__concat.adb_7_22_concat.adb_34_7_assert___00.smt2	unknown	24125274620	unknown	24125651093	base
M830-004__checks__do_checks.adb_38_48_overflow_check___00.smt2	unknown	25030737199	unknown	25128707887	arm
M830-004__checks__do_checks.adb_429_23_range_check___00.smt2	unsat	211550397	unsat	-1610586120388198078	base
MC06-031__dynamic_discrete__dynamic_ranges.adb_7_20_range_check___00.smt2	unsat	212438788	unsat	1610586120811449180	arm
N217-028__update_checks__ar.ads_19_5_postcondition___00.smt2	unsat	211264098	unsat	212448916	base
N228-005__update_unconstr_array__update_checks_1.adb_26_9_length_check___00.smt2	unsat	311554709	unsat	312260361	arm
N228-005__update_unconstr_array__update_checks_1.ads_9_19_postcondition___00.smt2	unknown	24027753161	unknown	24028171664	base
N502-021__size__get_size.adb_13_19_assert___00.smt2	unsat	111634790	unsat	112016385	arm
N523-032__hello__hello.adb_33_38_index_check___00.smt2	unsat	111863793	unsat	110596404	base
N609-025__private_type_discr__record_discr.ads_28_44_precondition___00.smt2	unsat	111045192	unsat	211451645	arm
N613-027__transitive__sorters.adb_54_13_loop_invariant_preserv___00.smt2	unsat	410960405	unsat	311754898	base
N624-020__perm_rem__perm.adb_125_62_index_check___00.smt2	unsat	-1610586166987549315	unsat	412123732	arm
N624-020__perm_rem__perm.adb_135_35_precondition3___00.smt2	unsat	1610586167511558209	unsat	110711836	base
N624-020__perm_rem__perm.adb_14_20_precondition___00.smt2	unsat	111845719	unsat	110984981	arm
N624-020__perm_rem__perm.adb_218_34_assert___00.smt2	unsat	411761032	unsat	312214656	base
N624-020__perm_rem__perm.adb_247_50_precondition___00.smt2	unsat	511268175	unsat	410778538	arm
N624-020__perm_rem__perm.adb_252_25_precondition___00.smt2	unsat	18327354677	unknown	25029406132	base
N624-020__perm_rem__perm.adb_264_42_precondition4___00.smt2	unsat	411881040	unsat	413120327	arm
N624-020__perm_rem__perm.adb_285_39_range_check2___00.smt2	unsat	712027420	unsat	4014336905	base
N624-020__perm_rem__perm.adb_315_41_precondition3___00.smt2	unsat	110891583	unsat	111995902	arm
N624-020__perm_rem__perm.adb_333_35_precondition___00.smt2	unsat	310719059	unsat	-1610586213887371809	base
N624-020__perm_rem__perm.adb_4_51_overflow_check___00.smt2	unsat	112706443	unsat	1610586214311824755	arm
N624-020__perm_rem__sort.adb_123_22_precondition2___00.smt2	unsat	111674007	unsat	110591791	base
N624-020__perm_rem__sort.adb_40_36_precondition2___00.smt2	unknown	25029012948	unknown	25127676139	arm
N624-020__perm_rem__sort.adb_49_38_precondition3___00.smt2	unsat	211501305	unsat	-1610586259989356334	base
N624-020__perm_rem__sort.adb_68_54_range_check___00.smt2	unsat	111776607	unsat	1610586260211018508	arm
N624-020__perm_rem__sort.adb_80_16_precondition4___00.smt2	unknown	24930235087	unknown	-1610586280271598745	base
N624-020__perm_rem__sort.adb_87_25_precondition2___00.smt2	unsat	111285361	unsat	1610586305311725339	arm
N627-026__defaults__with_default.adb_195_22_assert___00.smt2	unsat	111840114	unsat	112763287	base
N915-008__flow_acats_oo__c392008.adb_78_13_precondition___00.smt2	unknown	612625357	unknown	611237916	arm
N917-051__longest_common_prefix__longest_common_prefix.adb_11_15_overflow_check___00.smt2	unsat	110736978	unsat	-1610586306789501562	base
NA29-017__prove_all__sorting.adb_103_59_overflow_check___00.smt2	unknown	24029131252	unknown	25130040731	arm
NA29-017__prove_all__sorting.adb_41_18_range_check4___00.smt2	unsat	110629750	unsat	111749757	base
