file	order	off_verdict	off_ms	off_exit	off_route	on_verdict	on_ms	on_exit	on_route
/nas3/data/axeyum/corpus/smtlib-2024/non-incremental/non-incremental/QF_LRA/2017-Heizmann-UltimateInvariantSynthesis/_array1.i_3_2_2.bpl_11.smt2	off-on	unknown	24131	ok	none|nra|clean	unknown	24034	ok	none|nra|clean
/nas3/data/axeyum/corpus/smtlib-2024/non-incremental/non-incremental/QF_LRA/2017-Heizmann-UltimateInvariantSynthesis/_half_2.i_3_6_2.bpl_7.smt2	on-off	unknown	24036	ok	none|nra|clean	unknown	24036	ok	none|nra|clean
/nas3/data/axeyum/corpus/smtlib-2024/non-incremental/non-incremental/QF_LRA/2017-Heizmann-UltimateInvariantSynthesis/_standard_copy3_ground.i_3_2_2.bpl_7.smt2	off-on	unknown	24033	ok	none|nra|clean	unknown	24034	ok	none|nra|clean
/nas3/data/axeyum/corpus/smtlib-2024/non-incremental/non-incremental/QF_LRA/2017-Heizmann-UltimateInvariantSynthesis/_standard_strcmp_ground.i_4_2_2.bpl_11.smt2	on-off	unknown	24337	ok	none|nra|clean	unknown	24437	ok	none|nra|clean
/nas3/data/axeyum/corpus/smtlib-2024/non-incremental/non-incremental/QF_LRA/2019-ezsmt/Labyrinth/SCC_Strong/0051-labyrinth-12-0.smt2	off-on	unknown	25336	ok	none|dl-online|clean	unknown	25138	ok	none|dl-online|clean
/nas3/data/axeyum/corpus/smtlib-2024/non-incremental/non-incremental/QF_LRA/2019-ezsmt/blending/1.smt2	on-off	unsat	4012	ok	nra|nra|clean	unsat	4113	ok	nra|nra|clean
/nas3/data/axeyum/corpus/smtlib-2024/non-incremental/non-incremental/QF_LRA/2019-ezsmt/blending/24.smt2	off-on	sat	2712	ok	nra|nra|clean	sat	2713	ok	nra|nra|clean
/nas3/data/axeyum/corpus/smtlib-2024/non-incremental/non-incremental/QF_LRA/2019-ezsmt/robotics/1_4.smt2	on-off	unsat	109	ok	dl-online|dl-online|clean	unsat	110	ok	dl-online|dl-online|clean
/nas3/data/axeyum/corpus/smtlib-2024/non-incremental/non-incremental/QF_LRA/2019-ezsmt/routingMin/SCC_strong/d50.9.smt2	off-on	sat	209	ok	dl-online|dl-online|clean	sat	210	ok	dl-online|dl-online|clean
/nas3/data/axeyum/corpus/smtlib-2024/non-incremental/non-incremental/QF_LRA/2019-ezsmt/travellingSalesperson/rand_80_340_1159656267_0.lp.smt2	on-off	unknown	24236	ok	none|dl-online|clean	unknown	24137	ok	none|dl-online|clean
/nas3/data/axeyum/corpus/smtlib-2024/non-incremental/non-incremental/QF_LRA/2019-ezsmt/travellingSalesperson/tsp_rand_70_300_1155482584_7.lp.smt2	off-on	sat	4413	ok	dl-online|dl-online|clean	sat	4314	ok	dl-online|dl-online|clean
/nas3/data/axeyum/corpus/smtlib-2024/non-incremental/non-incremental/QF_LRA/DTP-Scheduling/constraints-cooking14.smt2	on-off	sat	109	ok	dl-online|dl-online|clean	sat	109	ok	dl-online|dl-online|clean
/nas3/data/axeyum/corpus/smtlib-2024/non-incremental/non-incremental/QF_LRA/DTP-Scheduling/constraints-tempo-depth-30.smt2	off-on	sat	109	ok	dl-online|dl-online|clean	sat	111	ok	dl-online|dl-online|clean
/nas3/data/axeyum/corpus/smtlib-2024/non-incremental/non-incremental/QF_LRA/DTP-Scheduling/constraints-tempo-matrix8x8.pddl.smt2	on-off	sat	1210	ok	dl-online|dl-online|clean	sat	1210	ok	dl-online|dl-online|clean
/nas3/data/axeyum/corpus/smtlib-2024/non-incremental/non-incremental/QF_LRA/DTP-Scheduling/constraints-tempo-width-9.smt2	off-on	sat	109	ok	dl-online|dl-online|clean	sat	110	ok	dl-online|dl-online|clean
/nas3/data/axeyum/corpus/smtlib-2024/non-incremental/non-incremental/QF_LRA/DTP-Scheduling/constraints-tms-2-3-light-04.smt2	on-off	sat	108	ok	dl-online|dl-online|clean	sat	110	ok	dl-online|dl-online|clean
/nas3/data/axeyum/corpus/smtlib-2024/non-incremental/non-incremental/QF_LRA/LassoRanker/CooperatingT2/afagp-fail.t2.c_Iteration1_Lasso_7-phaseTemplate.smt2	off-on	NONE	6985	rc134	NONE|NONE|clean	NONE	6994	rc134	NONE|NONE|clean
/nas3/data/axeyum/corpus/smtlib-2024/non-incremental/non-incremental/QF_LRA/LassoRanker/CooperatingT2/brp_withassume.t2.c_Iteration8_Loop_6-phaseTemplate.smt2	on-off	NONE	14607	rc134	NONE|NONE|clean	NONE	14410	rc134	NONE|NONE|clean
/nas3/data/axeyum/corpus/smtlib-2024/non-incremental/non-incremental/QF_LRA/LassoRanker/CooperatingT2/disj_nightmare.t2.c_Iteration2_Loop_7-phaseTemplate.smt2	off-on	NONE	11029	rc134	NONE|NONE|clean	NONE	10252	rc134	NONE|NONE|clean
/nas3/data/axeyum/corpus/smtlib-2024/non-incremental/non-incremental/QF_LRA/LassoRanker/CooperatingT2/eric.t2.c_Iteration1_Lasso_4-pieceTemplate.smt2	on-off	NONE	6401	rc134	NONE|NONE|clean	NONE	6514	rc134	NONE|NONE|clean
/nas3/data/axeyum/corpus/smtlib-2024/non-incremental/non-incremental/QF_LRA/LassoRanker/CooperatingT2/firewire.t2.c_Iteration1_Lasso_4-lexTemplate.smt2	off-on	NONE	7727	rc134	NONE|NONE|clean	NONE	7825	rc134	NONE|NONE|clean
/nas3/data/axeyum/corpus/smtlib-2024/non-incremental/non-incremental/QF_LRA/LassoRanker/CooperatingT2/hongyi1.t2.c_Iteration1_Loop_4-lexTemplate.smt2	on-off	NONE	8301	rc134	NONE|NONE|clean	NONE	8513	rc134	NONE|NONE|clean
/nas3/data/axeyum/corpus/smtlib-2024/non-incremental/non-incremental/QF_LRA/LassoRanker/CooperatingT2/janne_complex.t2.c_Iteration3_Lasso_4-pieceTemplate.smt2	off-on	NONE	8196	rc134	NONE|NONE|clean	NONE	8273	rc134	NONE|NONE|clean
/nas3/data/axeyum/corpus/smtlib-2024/non-incremental/non-incremental/QF_LRA/LassoRanker/CooperatingT2/ludcmp.t2.c_Iteration8_Loop_7-phaseTemplate.smt2	on-off	NONE	8509	rc134	NONE|NONE|clean	NONE	9240	rc134	NONE|NONE|clean
/nas3/data/axeyum/corpus/smtlib-2024/non-incremental/non-incremental/QF_LRA/LassoRanker/CooperatingT2/p-43.t2.c_Iteration4_Loop_4-pieceTemplate.smt2	off-on	NONE	6795	rc134	NONE|NONE|clean	NONE	6759	rc134	NONE|NONE|clean
/nas3/data/axeyum/corpus/smtlib-2024/non-incremental/non-incremental/QF_LRA/LassoRanker/CooperatingT2/queens.t2.c_Iteration19_Loop_7-phaseTemplate.smt2	on-off	NONE	7853	rc134	NONE|NONE|clean	NONE	7840	rc134	NONE|NONE|clean
/nas3/data/axeyum/corpus/smtlib-2024/non-incremental/non-incremental/QF_LRA/LassoRanker/CooperatingT2/sas2.t2.c_Iteration5_Lasso_6-phaseTemplate.smt2	off-on	NONE	8611	rc134	NONE|NONE|clean	NONE	7613	rc134	NONE|NONE|clean
/nas3/data/axeyum/corpus/smtlib-2024/non-incremental/non-incremental/QF_LRA/LassoRanker/CooperatingT2/sas2.t2.c_Iteration7_Loop_7-phaseTemplate.smt2	on-off	NONE	12615	rc134	NONE|NONE|clean	NONE	12907	rc134	NONE|NONE|clean
/nas3/data/axeyum/corpus/smtlib-2024/non-incremental/non-incremental/QF_LRA/LassoRanker/CooperatingT2/toeplz.c.i.toeplz.pl.t2.fixed.t2.c_Iteration2_Loop_7-phaseTemplate.smt2	off-on	NONE	11439	rc134	NONE|NONE|clean	NONE	10913	rc134	NONE|NONE|clean
/nas3/data/axeyum/corpus/smtlib-2024/non-incremental/non-incremental/QF_LRA/LassoRanker/SV-COMP/BradleyMannaSipma-2005CAV-Fig1_true-termination.c_Iteration1_Lasso_7-phaseTemplate.smt2	on-off	NONE	7197	rc134	NONE|NONE|clean	NONE	7207	rc134	NONE|NONE|clean
/nas3/data/axeyum/corpus/smtlib-2024/non-incremental/non-incremental/QF_LRA/LassoRanker/SV-COMP/GulwaniJainKoskinen-2009PLDI-Fig1_true-termination.c_Iteration1_Lasso_4-pieceTemplate.smt2	off-on	unknown	25238	ok	none|dl-online|clean	unknown	25140	ok	none|dl-online|clean
/nas3/data/axeyum/corpus/smtlib-2024/non-incremental/non-incremental/QF_LRA/LassoRanker/SV-COMP/LeeJonesBen-Amram-2001POPL-Ex5_true-termination.c_Iteration2_Lasso_3-pieceTemplate.smt2	on-off	NONE	6109	rc134	NONE|NONE|clean	NONE	6244	rc134	NONE|NONE|clean
/nas3/data/axeyum/corpus/smtlib-2024/non-incremental/non-incremental/QF_LRA/LassoRanker/SV-COMP/Masse_true-termination.c_Iteration1_Loop_4-pieceTemplate.smt2	off-on	NONE	6103	rc134	NONE|NONE|clean	NONE	6200	rc134	NONE|NONE|clean
/nas3/data/axeyum/corpus/smtlib-2024/non-incremental/non-incremental/QF_LRA/LassoRanker/SV-COMP/TelAviv-Amir-Minimum_true-termination.c_Iteration1_Loop_4-pieceTemplate.smt2	on-off	NONE	26526	rc134	NONE|NONE|clean	NONE	26443	rc134	NONE|NONE|clean
/nas3/data/axeyum/corpus/smtlib-2024/non-incremental/non-incremental/QF_LRA/LassoRanker/SV-COMP/joey_false-termination.c_Iteration1_Loop_7-phaseTemplate.smt2	off-on	unknown	24136	ok	none|nra|clean	unknown	24839	ok	none|nra|clean
/nas3/data/axeyum/corpus/smtlib-2024/non-incremental/non-incremental/QF_LRA/LassoRanker/Ultimate/Braverman-2006CAV-Ex1-int.bpl_Iteration1_Lasso_6-phaseTemplate.smt2	on-off	unknown	24034	ok	none|nra|clean	unknown	24138	ok	none|nra|clean
/nas3/data/axeyum/corpus/smtlib-2024/non-incremental/non-incremental/QF_LRA/LassoRanker/Ultimate/Collatz.bpl_Iteration1_Loop_6-phaseTemplate.smt2	off-on	NONE	15409	rc134	NONE|NONE|clean	NONE	15224	rc134	NONE|NONE|clean
/nas3/data/axeyum/corpus/smtlib-2024/non-incremental/non-incremental/QF_LRA/LassoRanker/Ultimate/Gcd_havoc.bpl_Iteration1_Lasso_6-phaseTemplate.smt2	on-off	unknown	24238	ok	none|nra|clean	unknown	24238	ok	none|nra|clean
/nas3/data/axeyum/corpus/smtlib-2024/non-incremental/non-incremental/QF_LRA/LassoRanker/Ultimate/OpposedDisjuncts.bpl_Iteration1_Lasso_2-pieceTemplate.smt2	off-on	unknown	24535	ok	none|nra|clean	unknown	25336	ok	none|dl-online|clean
/nas3/data/axeyum/corpus/smtlib-2024/non-incremental/non-incremental/QF_LRA/LassoRanker/Ultimate/TelAviv-AmirMinimum.bpl_Iteration1_Loop_4-pieceTemplate.smt2	on-off	NONE	8095	rc134	NONE|NONE|clean	NONE	8287	rc134	NONE|NONE|clean
/nas3/data/axeyum/corpus/smtlib-2024/non-incremental/non-incremental/QF_LRA/LassoRanker/Ultimate/simple-scaled200.bpl_Iteration1_Lasso_3-pieceTemplate.smt2	off-on	NONE	17507	rc134	NONE|NONE|clean	NONE	17604	rc134	NONE|NONE|clean
