file	A	A_ms	A_rc	B	B_ms	B_rc	first	status
QF_LRA/2017-Heizmann-UltimateInvariantSynthesis/_standard_two_index_06.i_3_2_2.bpl_7.smt2	unknown	24029	0	unknown	24030	0	A	unsat
QF_LRA/LassoRanker/CooperatingT2/sumit.t2.c_Iteration1_Lasso_7-phaseTemplate.smt2	none	7106	134	none	6892	134	B	sat
QF_LRA/meti-tarski/Chua/1/VC1/L/Chua-1-VC1-L-chunk-0156.smt2	unsat	109	0	unsat	107	0	A	unsat
QF_LRA/meti-tarski/sin/problem/8/weak/sin-problem-8-weak-chunk-0023.smt2	unsat	109	0	unsat	108	0	B	unsat
QF_LRA/spider_benchmarks/reint_to_least.base.smt2	unsat	208	0	unsat	207	0	A	unsat
QF_LRA/LassoRanker/CooperatingT2/janne_complex.t2.c_Iteration3_Lasso_4-pieceTemplate.smt2	none	7858	134	none	7316	134	B	unsat
QF_LRA/keymaera/bouncing-ball-inv-node1886.smt2	unsat	107	0	unsat	107	0	A	unsat
QF_LRA/meti-tarski/sin/problem/7/weak/sin-problem-7-weak-chunk-0046.smt2	sat	107	0	sat	107	0	B	sat
QF_LRA/sc/sc-33.base.cvc.smt2	unknown	24133	0	unknown	24033	0	A	unsat
QF_LRA/LassoRanker/CooperatingT2/elmhes.c.i.elmhes.pl.t2.fixed.t2.c_Iteration5_Loop_6-phaseTemplate.smt2	none	6929	134	none	6524	134	B	sat
QF_LRA/TM/p-driverlogNumeric_s7.smt2	sat	111	0	sat	109	0	A	sat
QF_LRA/meti-tarski/sin/problem/7/sin-problem-7-chunk-0014.smt2	sat	108	0	sat	108	0	B	sat
QF_LRA/sc/sc-19.base.cvc.smt2	unknown	24033	0	unknown	24133	0	A	unsat
QF_LRA/DTP-Scheduling/constraints-tms-2-3-light-04.smt2	sat	107	0	sat	107	0	B	sat
QF_LRA/LassoRanker/Ultimate/TelAviv-AmirMinimum.bpl_Iteration1_Loop_4-pieceTemplate.smt2	none	7807	134	none	8677	134	A	sat
QF_LRA/meti-tarski/polypaver/bench-exp-3d/polypaver-bench-exp-3d-chunk-0041.smt2	sat	109	0	sat	109	0	B	sat
QF_LRA/sal/windowreal/windowreal-no_t_deadlock-17.smt2	unsat	211	0	unsat	212	0	A	unsat
